Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program	Pick the item you are requesting access to
8/28/2018 15:58:14	Research assistant	Harvard Medical School (HMS)	GI/Nutrition	Esri Business Analyst Desktop Data
8/31/2018 11:18:06	Research fellow	Harvard Medical School (HMS)	Emergency Medicine	Esri Community Analyst Desktop Data
8/31/2018 11:39:59	Research fellow	Harvard Medical School (HMS)	Emergency department	Esri Business Analyst Desktop Data
9/6/2018 10:16:18	Undergraduate student	Harvard College	Applied Mathematics	Google Map APIs Premium
9/8/2018 16:19:50	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Architecture	ArcGIS Enterprise
9/13/2018 18:41:44	Other Affliate	Graduate School of Arts and Sciences (GSAS)	Department of Psychology	Google Map APIs Premium
9/17/2018 13:57:21	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design Studies	ArcGIS Enterprise
9/17/2018 14:42:07	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Design Studies	Agisoft PhotoScan
9/21/2018 9:40:31	Staff	FAS other units	Map Collection	Esri Business Analyst Online
9/25/2018 17:20:32	Graduate student: Masters	Harvard Graduate School of Design (GSD)	UPD	Esri Business Analyst Online
9/26/2018 13:18:56	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Architecture	Esri Business Analyst Online
9/26/2018 16:24:52	Faculty	Harvard Medical School (HMS)	Health Care Policy	Google Map APIs Premium
9/29/2018 21:57:29	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban planning	Esri Business Analyst Online
10/10/2018 10:32:12	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Sustainability Master's at the Extension School	ArcGIS Online Credit
10/18/2018 14:53:15	Staff	FAS Arts and Humanities Division	Ukrainian Research Institute	ArcGIS Enterprise
10/20/2018 9:50:06	Staff	Harvard Law School (HLS)	Alumni Center	Esri Training Courses (Virtual Campus)
10/23/2018 18:26:13	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MUP	Esri Community Analyst Online
10/27/2018 10:56:31	Research fellow	Harvard Graduate School of Education (GSE)	HGSE	Google Map APIs Premium
10/28/2018 23:04:16	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Masters of Urban Planning	Esri Business Analyst Online
11/5/2018 13:35:12	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics	Google Map APIs Premium
11/6/2018 14:10:21	Research fellow	Harvard Kennedy School of Government (HKS)	Harvard Center for International Development	Google Map APIs Premium
11/9/2018 8:35:38	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Economics	Google Map APIs Premium
11/13/2018 9:01:15	Research fellow	Harvard School of Public Health (HSPH)	Department of social and behavior science	Esri Training Courses (Virtual Campus)
11/20/2018 19:07:43	Undergraduate student	FAS Division of Continuing Education (DCE)	Harvard Extension School	Esri Business Analyst Desktop Data
11/26/2018 12:22:05	Graduate student: Doctorate	FAS Social Science Division	Government	Google Map APIs Premium
11/27/2018 20:16:15	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Extension School	ArcGIS Enterprise
