Timestamp	The event name	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
11/13/2018 9:18:58	CGA Conference 2019	Alum or Emeritus	Harvard Kennedy School of Government (HKS)	NA
4/2/2019 18:04:19	CGA Conference 2019	Alum or Emeritus	Harvard College	History and Literature
4/18/2019 14:46:13	CGA Conference 2019	Alum or Emeritus	Harvard College	Postdoctoral Fellow, Dartmouth College Society of Fellows & Department of Geography
5/2/2019 11:31:59	CGA Conference 2019	Alum or Emeritus	Harvard Graduate School of Design (GSD)	N/A
4/16/2019 17:05:08	CGA Conference 2019	Faculty	Harvard Medical School (HMS)	Medicine & Health Care Policy
4/17/2019 7:18:01	CGA Conference 2019	Faculty	Harvard School of Public Health (HSPH)	Dept of Social and Behavioral Sciences
4/23/2019 10:10:46	CGA Conference 2019	Faculty	FAS Social Science Division	Government
4/25/2019 15:21:22	CGA Conference 2019	Faculty	Harvard Kennedy School of Government (HKS)	HKS/Taubman Center/Ash Center
4/30/2019 14:40:14	CGA Conference 2019	Faculty	FAS Social Science Division	Anthropology
5/1/2019 18:47:56	CGA Conference 2019	Faculty	Harvard Law School (HLS)	Empirical Research
4/18/2019 15:55:39	CGA Conference 2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
4/18/2019 18:03:03	CGA Conference 2019	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Population Health Sciences (Social & Behavioral Sciences)
4/23/2019 20:06:31	CGA Conference 2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Political Economy and Government PhD
11/12/2018 23:23:28	CGA Conference 2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Urban Planning and Design, Master in Urban Planning
1/23/2019 8:39:00	CGA Conference 2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP
1/23/2019 20:39:21	CGA Conference 2019	Graduate student: Masters	Harvard College	HBS/HKS
1/25/2019 13:57:29	CGA Conference 2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Harvard Kennedy School
4/17/2019 10:08:41	CGA Conference 2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Global Health and Population
5/1/2019 14:05:00	CGA Conference 2019	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Data Science
11/15/2018 8:45:05	CGA Conference 2019	Non-degree student	FAS Division of Continuing Education (DCE)	Harvard Extension School
4/8/2019 11:49:53	CGA Conference 2019	Non-degree student	FAS Division of Continuing Education (DCE)	Sustainability
11/19/2018 10:51:21	CGA Conference 2019	Non-Harvard	Non-Harvard	None
12/2/2018 9:52:27	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-Harvard
12/12/2018 16:33:22	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
2/9/2019 6:17:10	CGA Conference 2019	Non-Harvard	Non-Harvard	none
2/11/2019 20:42:38	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-harvard
2/24/2019 18:08:22	CGA Conference 2019	Non-Harvard	Non-Harvard	None
2/24/2019 21:52:27	CGA Conference 2019	Non-Harvard	Non-Harvard	NON-HARVARD
3/1/2019 12:49:29	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
3/2/2019 12:34:50	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
3/4/2019 18:02:30	CGA Conference 2019	Non-Harvard	Non-Harvard	Graphic Design
3/5/2019 22:36:54	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
3/7/2019 8:12:53	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
3/13/2019 15:34:16	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
3/18/2019 19:39:06	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/3/2019 17:37:53	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/5/2019 11:58:47	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/5/2019 16:29:35	CGA Conference 2019	Non-Harvard	Non-Harvard	Temple University, Geography and Urban Studies
4/7/2019 18:47:31	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/8/2019 12:34:52	CGA Conference 2019	Non-Harvard	Harvard College	N/A
4/9/2019 12:45:57	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-Harvard
4/9/2019 14:14:31	CGA Conference 2019	Non-Harvard	Harvard College	NA
4/9/2019 15:25:32	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/9/2019 15:37:35	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/10/2019 13:59:48	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/15/2019 0:53:29	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-Harvard
4/16/2019 16:24:33	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/16/2019 19:39:56	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/16/2019 20:05:36	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/16/2019 21:57:29	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-Harvard
4/17/2019 13:13:27	CGA Conference 2019	Non-Harvard	Non-Harvard	non-Harvard
4/17/2019 16:40:49	CGA Conference 2019	Non-Harvard	Harvard College	n/a
4/18/2019 10:12:37	CGA Conference 2019	Non-Harvard	Non-Harvard	n/a
4/22/2019 9:34:28	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/22/2019 10:34:26	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/22/2019 16:34:28	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/24/2019 12:46:23	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/25/2019 9:12:01	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/25/2019 18:31:12	CGA Conference 2019	Non-Harvard	Non-Harvard	Non-Harvard
4/26/2019 13:33:29	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/26/2019 13:46:16	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/29/2019 11:13:47	CGA Conference 2019	Non-Harvard	Non-Harvard	non-Harvard
4/29/2019 15:09:25	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/30/2019 10:38:06	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
4/30/2019 13:38:40	CGA Conference 2019	Non-Harvard	Harvard Kennedy School of Government (HKS)	NA
5/1/2019 15:49:07	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
5/1/2019 16:40:45	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
5/2/2019 10:15:54	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
5/2/2019 10:29:53	CGA Conference 2019	Non-Harvard	Non-Harvard	NA
5/3/2019 6:20:57	CGA Conference 2019	Non-Harvard	Non-Harvard	N/A
4/16/2019 17:04:57	CGA Conference 2019	Other Affliate	FAS Division of Continuing Education (DCE)	N/A
4/29/2019 13:49:58	CGA Conference 2019	Post doctoral research associate	Harvard Business School (HBS)	Laboratory for Innovation Science
4/2/2019 13:19:19	CGA Conference 2019	Research assistant	FAS other units	Harvard Forest
3/30/2019 21:58:37	CGA Conference 2019	Research fellow	FAS other units	N/A
4/19/2019 12:19:22	CGA Conference 2019	Research fellow	FAS Arts and Humanities Division	Harvard Semitic Museum
4/23/2019 11:55:38	CGA Conference 2019	Research fellow	FAS Social Science Division	CGA
4/25/2019 17:58:00	CGA Conference 2019	Research fellow	Harvard Kennedy School of Government (HKS)	ASH Center
5/2/2019 14:15:41	CGA Conference 2019	Research fellow	FAS Social Science Division	Davis Center for Russian and Eurasian Studies
2/15/2019 13:57:09	CGA Conference 2019	Staff	Harvard Kennedy School of Government (HKS)	Ash Center
3/28/2019 9:51:48	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Planning Office
4/17/2019 9:08:10	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Map Collection
4/17/2019 11:13:55	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Data Science Initiative
4/29/2019 12:19:13	CGA Conference 2019	Staff	FAS Social Science Division	IQSS; OVPR
4/29/2019 14:57:10	CGA Conference 2019	Staff	Harvard School of Public Health (HSPH)	sbs
4/29/2019 15:05:23	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	HPO
4/30/2019 11:35:59	CGA Conference 2019	Staff	FAS Arts and Humanities Division	IQSS
5/1/2019 10:20:12	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Map Collection
5/2/2019 15:05:27	CGA Conference 2019	Staff	HUIT, Libraries, UPO, University Centers, Programs, etc.	Harvard Planning Office
1/10/2019 16:23:49	CGA Conference 2019	Visitor	FAS other units	 Center for Geographic Analysis
3/5/2019 9:50:19	CGA Conference 2019	Visitor	Non-Harvard	N/A
3/8/2019 11:47:26	CGA Conference 2019	Visitor	Non-Harvard	N/A
3/12/2019 8:47:20	CGA Conference 2019	Visitor	Non-Harvard	Center for Geographic Analysis Center for Geographic Analysis
3/12/2019 9:25:45	CGA Conference 2019	Visitor	Non-Harvard	GIS at Mount Holyoke College 
3/30/2019 20:40:17	CGA Conference 2019	Visitor	Non-Harvard	Non-Harvard
4/1/2019 13:02:25	CGA Conference 2019	Visitor	Harvard Law School (HLS)	NA
4/5/2019 15:51:09	CGA Conference 2019	Visitor	Non-Harvard	N/A
4/7/2019 14:36:32	CGA Conference 2019	Visitor	Non-Harvard	NA
4/9/2019 15:35:53	CGA Conference 2019	Visitor	Non-Harvard	NA
4/16/2019 19:25:13	CGA Conference 2019	Visitor	FAS other units	N/A
4/17/2019 1:05:19	CGA Conference 2019	Visitor	Non-Harvard	NA
4/17/2019 9:20:30	CGA Conference 2019	Visitor	Non-Harvard	NA
4/17/2019 11:55:39	CGA Conference 2019	Visitor	Non-Harvard	N/A
4/17/2019 13:17:46	CGA Conference 2019	Visitor	Non-Harvard	NA
4/23/2019 11:17:44	CGA Conference 2019	Visitor	Non-Harvard	visitor
4/26/2019 4:01:10	CGA Conference 2019	Visitor	Non-Harvard	Visitor
4/26/2019 6:09:12	CGA Conference 2019	Visitor	Non-Harvard	NA
4/26/2019 10:04:39	CGA Conference 2019	Visitor	Harvard Graduate School of Design (GSD)	NA
4/26/2019 13:00:07	CGA Conference 2019	Visitor	Graduate School of Arts and Sciences (GSAS)	NA
4/26/2019 13:50:18	CGA Conference 2019	Visitor	Non-Harvard	N/A
4/29/2019 10:10:16	CGA Conference 2019	Visitor	Non-Harvard	NA
4/29/2019 13:59:37	CGA Conference 2019	Visitor	Non-Harvard	NA
4/30/2019 9:20:33	CGA Conference 2019	Visitor	FAS other units	CGA
4/30/2019 11:22:29	CGA Conference 2019	Visitor	FAS other units	There is no Non-Harvard Affiliation option. I am not Harvard-affiliated. I am a graduate student in European and Russian studies at Yale, and I am interested in attending some of the Friday programming. 
4/30/2019 16:14:59	CGA Conference 2019	Visitor	Non-Harvard	NA
10/25/2019 1:21:29	CGA Conference 2020	Alum or Emeritus	Graduate School of Arts and Sciences (GSAS)	East Asian
11/16/2019 12:36:16	CGA Conference 2020	Non-Harvard	Non-Harvard	None
11/16/2019 18:01:16	CGA Conference 2020	Research fellow	Harvard School of Public Health (HSPH)	Dept of Social & Behavioral Sciences
11/22/2019 21:12:39	CGA Conference 2020	Visitor	Non-Harvard	None
12/6/2019 7:16:39	CGA Conference 2020	Research fellow	Harvard School of Public Health (HSPH)	GHP
12/6/2019 9:22:51	CGA Conference 2020	Research fellow	Harvard Graduate School of Education (GSE)	Language and literacy
12/11/2019 1:59:30	CGA Conference 2020	Undergraduate student	Harvard College	History of Art & Architecture; Sociology
12/30/2019 15:18:56	CGA Conference 2020	Graduate student: Masters	FAS Division of Continuing Education (DCE)	Harvard Extension School
1/6/2020 5:09:34	CGA Conference 2020	Other Affliate	Harvard School of Public Health (HSPH)	Harvard Humanitarian Initiative 
1/6/2020 8:01:00	CGA Conference 2020	Staff	Harvard School of Public Health (HSPH)	Harvard Humanitarian Initiative 
1/7/2020 15:06:18	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
1/13/2020 11:22:00	CGA Conference 2020	Non-Harvard	Non-Harvard	Center for Geographic Analysis
1/13/2020 14:06:11	CGA Conference 2020	Staff	FAS Social Science Division	Center for Geographic Analysis
1/17/2020 15:59:39	CGA Conference 2020	Graduate student: Doctorate	Harvard School of Public Health (HSPH)	Epidemiology
1/29/2020 8:25:25	CGA Conference 2020	Non-Harvard	Non-Harvard	-
1/30/2020 16:08:05	CGA Conference 2020	Post doctoral research associate	Harvard Graduate School of Design (GSD)	Joint Center for Housing Studies
2/6/2020 21:22:09	CGA Conference 2020	Research fellow	FAS Science Division	OEB
2/7/2020 14:07:19	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/7/2020 14:44:12	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/7/2020 16:46:19	CGA Conference 2020	Faculty	Harvard Medical School (HMS)	Population Medicine
2/7/2020 17:24:55	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/7/2020 23:10:48	CGA Conference 2020	Non-Harvard	Non-Harvard	N/A
2/8/2020 10:41:18	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/10/2020 8:39:18	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/10/2020 10:43:40	CGA Conference 2020	Research fellow	Harvard School of Public Health (HSPH)	Epidemiology
2/10/2020 10:45:27	CGA Conference 2020	Research assistant	Harvard Medical School (HMS)	Harvard School of Public Health Department of Nutrition
2/10/2020 11:20:47	CGA Conference 2020	Staff	Harvard Medical School (HMS)	HMS Neurology
2/10/2020 11:33:36	CGA Conference 2020	Post doctoral research associate	Harvard Medical School (HMS)	Neurology
2/10/2020 11:54:49	CGA Conference 2020	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Population Health Sciences
2/10/2020 12:08:32	CGA Conference 2020	Research assistant	Non-Harvard	N/A
2/11/2020 11:53:58	CGA Conference 2020	Non-Harvard	Non-Harvard	N/A
2/14/2020 13:33:20	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/17/2020 11:56:28	CGA Conference 2020	Post doctoral research associate	Harvard School of Public Health (HSPH)	Epidemiology
2/20/2020 7:38:19	CGA Conference 2020	Non-Harvard	HUIT, Libraries, UPO, University Centers, Programs, etc.	Keynote from CDC
2/20/2020 20:55:16	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
2/20/2020 22:30:16	CGA Conference 2020	Non-Harvard	Non-Harvard	Kennedy School of Government
2/21/2020 0:11:31	CGA Conference 2020	Faculty	Harvard Medical School (HMS)	BWH/Medicine/Channing Division of Network Medicine
2/21/2020 0:24:57	CGA Conference 2020	Visitor	Non-Harvard	N/A
2/21/2020 0:45:36	CGA Conference 2020	Non-Harvard	Non-Harvard	NA
