Timestamp	Please enter the start date of the GIS Institute which you are applying to attend	Your Harvard status/appointment	Your primary affiliated school at Harvard	Your Harvard Department/Unit/Center/Program
9/6/2018 20:46:24	1/8/2019	Faculty	FAS Arts and Humanities Division	History Department
9/25/2018 13:06:20	1/8/2018	Research fellow	Harvard Medical School (HMS)	Neurology
10/1/2018 15:34:09	1/8/2019	Graduate student: Masters	Harvard School of Public Health (HSPH)	Environmental Health/SM80
10/2/2018 9:20:03	1/1/2019	Graduate student: Masters	Harvard Medical School (HMS)	Department of global health and social medicine
10/10/2018 10:25:40	1/8/2018	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Architecture, Landscape Architecture, Urban Planning
10/13/2018 12:50:56	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	History
10/16/2018 10:16:46	1/8/2019	Other Affliate	Harvard Medical School (HMS)	HMS Department of Pediatrics; Pediatrics Resident Physician
10/20/2018 21:46:42	1/8/2019	Undergraduate student	Harvard College	Statistics
10/21/2018 11:17:41	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Government
10/23/2018 12:35:55	1/8/2019	Research fellow	Harvard School of Public Health (HSPH)	Global health and population
10/23/2018 14:16:52	1/8/2019	Research assistant	Harvard Medical School (HMS)	Department of Health Care Policy
10/23/2018 14:35:59	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Department of Urban Planning and Design (specifically, I am in the urban planning program)
10/24/2018 12:42:51	1/8/2018	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	Master in Public Policy - Social and Urban Policy
10/25/2018 17:31:54	1/8/2019	Graduate student: Doctorate	Graduate School of Arts and Sciences (GSAS)	Sociology
10/25/2018 22:57:08	1/8/2019	Graduate student: Masters	Harvard Kennedy School of Government (HKS)	MPP 2019
10/26/2018 0:24:08	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master of Urban Planning
10/26/2018 10:40:02	1/8/2019	Post doctoral research associate	FAS Arts and Humanities Division	Fairbank Center for Chinese Studies
10/26/2018 11:19:04	1/18/2019	Post doctoral research associate	FAS Social Science Division	Government
10/26/2018 12:51:59	1/8/2019	Graduate student: Doctorate	Harvard Graduate School of Design (GSD)	GSD/Doctor of Design
10/26/2018 13:16:46	1/8/2019	Graduate student: Masters	Harvard Graduate School of Design (GSD)	Master in Design Engineering + Master in Design Studies
