Timestamp	Name of the training workshop	Date (or start date) of the training workshop	Training Duration	Training Pace	Technical Depth	Content Relevance	Course Material Organization	Balance of Lecture, Demo and Exercise	Presentation Effectiveness	Engagement with Students	Question & Problem Resolution	Condition of the classroom and equipment
9/10/2018 16:11:20	Basic Introduction to GIS	9/7/2018	3	3	2	4	4	5	4	4	2	4
9/10/2018 16:29:08	Basic Introduction to GIS	9/7/2018	3	3	3	3	4	4	5	4	4	5
9/10/2018 23:14:05	Basic Introduction to GIS	9/7/2018	3	3	3	4	3	2	4	4	4	4
9/11/2018 0:23:56	Basic Introduction to GIS	9/7/2018	2	3	3	4	5	5	5	5	5	5
12/11/2018 10:02:22	GIS for Humanities and Social Sciences	12/7/2018	4	3	2	4	4	3	5	5	5	5
12/11/2018 10:08:02	GIS for Humanities and Social Sciences	12/7/2018	3	3	3	3	3	3	3	3	3	3
12/11/2018 10:13:48	GIS for Humanities and Social Sciences	12/7/2018	3	3	2	5	5	5	5	5	4	5
12/11/2018 11:36:03	GIS for Humanities and Social Sciences	12/7/2018	3	3	3	4	4	4	5	5	5	5
12/11/2018 12:00:32	GIS for Humanities and Social Sciences	12/7/2018	5	3	3	3	3	2	3	3	3	4
12/11/2018 15:42:59	GIS for Humanities and Social Sciences	12/7/2018	4	3	3	3	5	5	5	4	3	5
12/12/2018 11:47:33	GIS for Humanities and Social Sciences	12/7/2018	3	3	3	5	5	5	5	5	5	4
12/12/2018 16:15:25	GIS for Humanities and Social Sciences	12/7/2018	3	2	3	5	5	5	5	5	5	5
12/17/2018 14:25:53	GIS for Humanities and Social Sciences	12/7/2018	4	3	3	5	4	4	5	5	5	4
1/18/2019 12:31:50	GIS Institute	1/8/2019	3	4	3	5	5	4	5	5	5	3
1/18/2019 12:39:00	GIS Institute	1/8/2019	3	3	3	5	5	5	5	5	5	5
1/18/2019 13:06:35	GIS Institute	1/8/2019	3	3	4	5	5	5	5	5	5	5
1/18/2019 13:11:07	GIS Institute	1/8/2019	3	3	3	5	5	5	5	5	5	5
1/18/2019 13:28:14	GIS Institute	1/8/2019	2	3	3	5	5	5	5	5	5	2
1/18/2019 14:00:36	GIS Institute	1/8/2019	2	3	2	4	4	4	5	5	5	3
1/18/2019 14:51:28	GIS Institute	1/8/2019	2	3	3	5	5	5	5	4	5	5
1/19/2019 11:25:17	GIS Institute	1/8/2019	3	4	2	4	5	4	4	5	5	4
1/20/2019 10:18:15	GIS Institute	1/8/2019	3	3	3	3	3	3	3	3	3	3
1/20/2019 18:41:38	GIS Institute	1/8/2019	3	3	3	5	5	5	4	5	5	3
1/21/2019 5:34:42	GIS Institute	1/8/2019	3	3	4	5	4	5	5	5	5	5
1/22/2019 21:45:29	GIS Institute	1/8/2019	3	3	3	5	5	5	5	5	5	2
1/23/2019 9:01:07	GIS Institute	1/8/2019	3	3	3	5	5	5	5	5	5	2
1/26/2019 11:03:13	GIS Institute	1/8/2019	3	4	3	4	4	4	4	4	5	5
5/1/2019 12:01:52	Cartography Workshop	4/26/2019	3	3	3	5	5	5	5	5	5	5
5/1/2019 12:11:40	Cartography Workshop	4/26/2019	3	3	3	5	5	5	5	5	5	5
5/1/2019 12:21:52	Cartography Workshop	4/26/2019	5	5	5	5	5	5	5	5	5	4
5/1/2019 12:21:58	Cartography Workshop	4/26/2019	3	3	3	5	5	5	5	5	5	5
5/1/2019 12:36:42	Cartography Workshop	4/26/2019	3	3	3	3	3	3	3	3	4	4
5/1/2019 14:21:30	Cartography Workshop	4/26/2019	2	3	3	5	4	4	5	5	5	5
5/1/2019 15:10:09	Cartography Workshop	4/26/2019	3	3	3	5	5	5	5	5	5	5
5/2/2019 9:11:21	Cartography Workshop	4/26/2019	3	3	3	4	4	5	4	5	5	5
5/6/2019 18:29:26	Cartography Workshop	4/26/2019	3	3	3	5	5	3	5	5	5	5
5/7/2019 11:44:23	Cartography Workshop	4/26/2019	4	2	2	4	4	4	4	5	5	4
6/14/2019 14:22:22	GIS Institute	6/4/2019	3	3	3	5	5	5	5	5	5	5
6/14/2019 14:28:12	GIS Institute	6/4/2019	2	5	3	4	3	4	4	5	5	2
6/14/2019 15:31:14	GIS Institute	6/1/2019	2	3	3	5	5	5	5	5	5	5
6/14/2019 15:42:18	GIS Institute	6/4/2019	2	2	1	3	4	5	5	5	5	5
6/14/2019 15:45:40	GIS Institute	6/4/2019	3	4	3	4	5	4	5	5	5	4
6/17/2019 9:22:53	GIS Institute	6/4/2019	3	1	3	5	5	5	5	5	5	3
6/17/2019 9:30:17	GIS Institute	6/4/2019	3	3	3	5	4	5	5	5	5	5
6/17/2019 23:59:28	GIS Institute	6/4/2019	2	5	3	4	1	1	2	2	2	2
6/18/2019 14:38:10	GIS Institute	6/4/2019	2	4	3	5	5	5	5	5	5	5
6/19/2019 15:01:33	GIS Institute	6/4/2019	3	3	3	5	4	4	5	5	5	3
6/21/2019 16:04:54	GIS Institute	6/4/2019	3	2	3	5	5	5	5	5	5	4
6/28/2019 9:34:46	GIS Institute	6/4/2019	3	4	4	4	4	4	4	5	5	1
9/9/2019 12:38:45	Basic Introduction to GIS	9/6/2019	3	3	3	5	5	4	5	5	5	5
9/9/2019 13:39:43	Basic Introduction to GIS	9/6/2019	3	3	3	5	5	5	5	5	5	5
9/9/2019 14:27:50	Basic Introduction to GIS	9/6/2019	3	3	3	4	5	5	5	5	5	4
9/18/2019 8:21:08	Basic Introduction to GIS	9/6/2019	2	3	3	5	5	5	5	5	5	5
12/17/2019 9:11:22	GIS for Humanities and Social Sciences	12/6/2019	3	3	3	4	5	5	5	5	5	5
12/17/2019 9:34:37	GIS for Humanities and Social Sciences	12/6/0019	3	1	2	3	3	3	3	5	5	5
12/17/2019 9:35:03	GIS for Humanities and Social Sciences	12/6/2019	3	4	3	4	5	5	5	5	5	5
12/17/2019 10:06:49	GIS for Humanities and Social Sciences	12/6/2019	3	3	3	4	5	5	5	5	5	5
1/17/2020 9:40:47	GIS Institute	1/7/2020	3	3	3	5	5	5	5	5	5	5
1/17/2020 16:00:55	GIS Institute	1/7/2020	3	3	3	5	5	5	5	5	5	5
1/17/2020 16:27:22	GIS Institute	1/7/2020	3	5	3	3	3	5	4	5	5	5
1/17/2020 17:19:25	GIS Institute	1/7/2020	3	3	3	5	5	5	5	5	4	5
1/17/2020 17:57:11	GIS Institute	1/6/2020	3	3	2	5	5	5	5	5	5	5
1/18/2020 18:59:47	GIS Institute	1/7/2020	3	3	2	5	3	5	3	5	5	5
1/18/2020 19:18:22	GIS Institute	1/7/2020	3	2	2	3	3	3	3	4	4	4
1/22/2020 9:08:05	GIS Institute	1/7/2020	3	3	3	4	4	5	5	5	4	5
2/3/2020 10:03:08	Basic Introduction to GIS	1/31/2020	4	1	1	3	5	5	4	5	4	4
2/3/2020 10:10:46	Basic Introduction to GIS	1/31/2020	3	3	2	5	5	5	5	5	5	5
2/3/2020 10:34:04	Basic Introduction to GIS	1/31/2020	4	2	2	3	5	4	5	4	4	5
2/3/2020 10:35:11	Basic Introduction to GIS	3/1/2020	1	2	2	4	4	4	3	3	4	4
2/3/2020 10:36:49	Basic Introduction to GIS	1/31/2020	3	3	3	5	5	5	5	3	5	3
2/3/2020 10:47:37	Basic Introduction to GIS	1/31/2020	3	2	2	3	4	5	4	3	5	5
2/3/2020 11:24:38	Basic Introduction to GIS	1/31/2020	2	4	3	4	4	5	4	3	3	5
2/3/2020 11:33:46	Basic Introduction to GIS	1/31/2020	2	3	2	5	5	5	4	5	5	5
2/3/2020 12:37:33	Basic Introduction to GIS	1/31/2020	2	3	3	5	5	5	5	5	5	5
2/3/2020 13:32:28	Basic Introduction to GIS	1/31/2020	3	2	2	5	5	5	5	5	5	5
2/8/2020 23:25:26	Basic Introduction to GIS	1/31/2020	3	3	2	4	4	3	4	5	5	4
2/11/2020 9:29:03	GIS Institute	1/7/2020	1	3	2	5	5	5	5	5	5	5
6/12/2020 12:20:10	GIS Institute	6/2/2020	3	3	3	5	5	5	5	5	5	4
6/12/2020 12:20:12	GIS for Humanities and Social Sciences	6/2/2020	4	5	5	5	5	5	5	5	5	5
6/12/2020 16:14:53	GIS Institute	6/2/2020	3	2	3	4	5	5	4	5	5	4
6/15/2020 10:30:17	GIS Institute	6/2/2020	3	2	3	5	5	3	4	5	5	5
6/15/2020 18:02:24	GIS Institute	6/2/2020	3	5	2	3	5	4	2	3	4	1
9/8/2020 9:50:53	Basic Introduction to GIS	9/4/2020	3	2	2	4	5	5	4	4	4	3
9/8/2020 17:02:42	Basic Introduction to GIS	9/4/2020	2	3	3	5	5	5	5	4	5	5
9/8/2020 17:26:30	Basic Introduction to GIS	9/4/2020	3	3	2	5	5	5	5	5	5	4
9/9/2020 20:21:48	Basic Introduction to GIS	9/4/2020	3	3	3	4	5	5	5	5	5	5
9/10/2020 11:06:54	Basic Introduction to GIS	9/4/2020	3	4	3	5	4	4	4	4	4	3
9/10/2020 16:56:35	Basic Introduction to GIS	9/4/2020	3	3	3	5	4	5	5	4	5	5
9/11/2020 9:35:52	Basic Introduction to GIS	9/4/2020	3	3	3	5	5	5	5	5	5	5
12/14/2020 13:36:48	GIS for Humanities and Social Sciences	12/11/2020	3	3	3	3	5	5	5	5	5	5
12/14/2020 15:22:03	GIS for Humanities and Social Sciences	12/11/2020	4	3	2	5	5	5	5	5	5	5
12/16/2020 14:21:48	GIS for Humanities and Social Sciences	12/11/2020	4	3	3	5	5	5	5	5	5	5
1/15/2021 9:48:33	GIS Institute	1/5/2021	3	3	4	5	5	5	5	5	5	5
1/15/2021 10:20:13	GIS Institute	1/5/2021	3	3	3	4	5	4	5	5	5	5
1/15/2021 10:31:40	GIS Institute	1/5/2021	3	3	3	5	5	4	5	5	5	5
1/15/2021 10:35:53	GIS Institute	1/5/2021	2	3	3	4	4	4	4	5	5	4
1/15/2021 11:37:00	GIS Institute	1/5/2021	2	3	3	5	5	5	4	5	5	4
1/15/2021 11:50:58	GIS Institute	1/5/2021	4	3	3	4	2	3	3	5	5	3
1/15/2021 12:20:17	GIS Institute	1/5/2020	1	4	3	4	4	4	4	4	4	3
1/15/2021 13:21:58	GIS Institute	1/5/2021	4	2	2	5	5	5	5	5	5	5
1/15/2021 14:13:57	GIS Institute	1/5/2021	3	5	3	5	5	5	4	5	4	4
1/15/2021 21:39:30	GIS Institute	1/5/2021	3	2	3	4	2	4	4	5	5	4
2/2/2021 9:39:00	Basic Introduction to GIS	1/29/2021	3	3	4	4	4	4	4	4	4	4
2/2/2021 9:47:56	Basic Introduction to GIS	1/29/2021	3	5	3	5	3	4	2	3	3	4
