id	Your primary affiliated school at Harvard	count	fraction	percentage
1	Graduate School of Arts and Sciences (GSAS)	44	0.18	18%
2	Harvard Graduate School of Design (GSD)	30	0.12	12%
3	Harvard School of Public Health (HSPH)	26	0.11	11%
4	FAS Social Science Division	20	0.08	8%
5	Harvard Kennedy School of Government (HKS)	19	0.08	8%
6	FAS Division of Continuing Education (DCE)	18	0.07	7%
7	Harvard Medical School (HMS)	15	0.06	6%
8	Harvard College	13	0.05	5%
9	Harvard Business School (HBS)	12	0.05	5%
0	Other	49	0.19	19%
