id	course	registration_count
0	Basic Introduction to GIS#(Sep 2025)	23
1	GIS for Humanities and Social Sciences#(Dec 2025)	16
2	Introduction to GIS#(Jan 2026)	10
3	Basic Introduction to GIS#(Jan 2026)	6
4	Geocoding with ArcGIS#(Feb 2026)	18
5	Visual Programming for GIS using KNIME#(Feb 2026)	13
6	Getting Started Making Maps with QGIS and ArcGIS#(Feb 2026)	12
7	Getting Started with Spatial Analysis in R#(Mar 2026)	20
8	Satellite Imagery Analysis with Google Earth Engine#(Apr 2026)	20
9	Getting Started with AI for Spatial Data#(Apr 2026)	26
10	Using Python for Geospatial Analysis and Visualization#(May 2026)	9
