Year	Type	Software Issue	Account Related	System Setup/Re-imaged	Printer/Copier	Software Install	Email Related	General Inquiry	Hardware Issue/Replacement	Domain/Drive Mapping	Purchasing Hardware/Software	Network/Jack related	Virus/Malware	Recycling Equipment	Equipment Move	Research/Training	Registering a device	Backup/Restore	Windows/MacOS	Loaner	Sum
FY17	PC	232	98	81	72	71	70	57	56	42	32	30	23	19	15	11	8	0	0	0	917
FY17	Mac	104	41	30	43	48	48	34	38	15	26	12	9	5	3	7	3		0	0	466
FY18	PC	68	91	86	97	52	30	30	26	53	35	41	22	14	18	5	8	2	13	0	691
FY18	Mac	46	39	40	41	16	10	19	7	14	33	17	8	5	8	3	8	2	12	0	328
FY19	PC	170	86	86	130	60	72	27	45	38	38	27	14	12	19	0	4	21	49	2	900
FY19	Mac	108	30	50	53	29	43	8	32	12	29	19	4	2	5	0	4	7	46	2	483
FY20	PC	264	68	110	125	80	95	41	64	56	45	32	7	14	8	1	10	91	81	14	1206
FY20	Mac	125	35	50	59	43	60	20	36	40	27	23	10	2	14	2	3	34	41	3	627
FY21	PC	200	18	40	12	36	62	25	34	25	20	20	3	1	16	0	0	18	37	3	570
FY21	Mac	146	23	49	7	37	59	20	30	14	32	5	1	2	7	0	1	12	22	2	469
FY22	PC	152	43	119	85	29	64	25	57	56	42	37	6	13	14	0	8	54	53	3	860
FY22	Mac	149	23	70	81	28	54	21	39	16	43	37	8	5	3	1	7	63	40	4	692
FY23	PC	187	45	112	70	37	70	18	49	25	49	27	7	21	12	0	4	65	21	19	838
FY23	Mac	112	23	73	67	19	46	23	29	10	50	26	2	9	4	0	6	62	25	12	598
FY24	PC	133	21	93	74	43	66	10	48	8	32	24	8	13	7	0	4	49	26	9	668
FY24	Mac	112	17	73	85	19	52	7	34	6	39	30	5	6	6	0	8	59	16	11	585
FY25	PC	103	21	62	44	20	43	7	36	2	22	13	11	9	2	0	2	65	46	7	515
FY25	Mac	96	21	57	59	17	41	11	19	4	33	9	6	7	4	1	5	47	21	6	464
