id	Year	Month	Year_Month	Desktop	RCE	Dataverse
0	2021	1	2021-Jan	84	92	60
1	2021	2	2021-Feb	105	54	39
2	2021	3	2021-Mar	90	52	46
3	2021	4	2021-Apr	67	56	53
4	2021	5	2021-May	70	55	44
5	2021	6	2021-Jun	81	91	54
6	2021	7	2021-Jul	101	78	47
7	2021	8	2021-Aug	146	58	45
8	2021	9	2021-Sep	278	3	2
9	2021	10	2021-Oct	206	84	36
10	2021	11	2021-Nov	161	42	50
11	2021	12	2021-Dec	99	28	34
12	2022	1	2022-Jan	116	119	82
13	2022	2	2022-Feb	130	60	73
14	2022	3	2022-Mar	198	36	83
15	2022	4	2022-Apr	144	34	67
16	2022	5	2022-May	103	53	53
17	2022	6	2022-Jun	149	65	59
18	2022	7	2022-Jul	151	44	89
19	2022	8	2022-Aug	157	37	79
20	2022	9	2022-Sep	204	35	61
21	2022	10	2022-Oct	180	52	50
22	2022	11	2022-Nov	147	60	66
23	2022	12	2022-Dec	100	16	48
24	2023	1	2023-Jan	123	160	82
25	2023	2	2023-Feb	154	162	67
26	2023	3	2023-Mar	152	170	97
27	2023	4	2023-Apr	126	207	130
28	2023	5	2023-May	113	227	102
29	2023	6	2023-Jun	138	1	114
30	2023	7	2023-Jul	138	0	112
31	2023	8	2023-Aug	175	0	110
32	2023	9	2023-Sep	202	0	76
33	2023	10	2023-Oct	204	0	112
34	2023	11	2023-Nov	143	0	110
35	2023	12	2023-Dec	112	0	98
36	2024	1	2024-Jan	129	0	133
37	2024	2	2024-Feb	159	0	153
38	2024	3	2024-Mar	110	0	125
39	2024	4	2024-Apr	117	0	114
40	2024	5	2024-May	106	0	144
41	2024	6	2024-Jun	128	0	146
42	2024	7	2024-Jul	135	0	105
43	2024	8	2024-Aug	141	0	112
44	2024	9	2024-Sep	168	0	142
