Speakers		Description	YouTube ID
Julian Gautier	Introduction to Metadata in Dataverse Repositories: For Installation Administrators	Learn about how Dataverse helps Dataverse installation administrators customize the dataset metadata form in order to improve how data and code are described, found and used. This webinar will cover how to edit and create metadata blocks, how Dataverse exports metadata, and more.	GgPI9X6Q7sI
Slava Tykhonov	Dataverse and Croissant: Metadata for AI and Machine Learning Systems		AUSjdYhjHww
Charity Everett	Dataverse XR-Spatial	Exploring immersive data visualization	
Sonia Barbosa, Leonid Andreev	Large Data Support in Harvard Dataverse	This webinar will highlight our services, which are designed to meet the diverse needs of researchers, institutions, and groups handling large datasets.	IptLotFsjpU
Sonia Barbosa, Gustavo Durand	Using Permissions in Dataverse	Learn how to manage permissions in a Dataverse repository to manage deposit workflows and access to your data. This webinar will provide an overview of the permissions framework, helping you understand roles, access levels, and how to customize permission at the collection, dataset, and file levels.	mx6zuOt-C2A
Paul Boon	Demo of geographical map for Dataverse	During the community call, Paul demoed a map he's been working on. We also talking about the upcoming community meeting and Dataverse release (6.6).	
Slava Tykhonov	Ask Dataverse and Large Language Models in the RAG framework		
Sonia Barbosa, Katie Mika	Intro to Using the Harvard Dataverse & FAIR, and the NIH DMP Harvard Dataverse Guidance Document	Learn about the Harvard Dataverse Repository for data sharing and preservation.	iZHrHokIhLE
Eric Olson	Specialized Metadata in Generalist Repositories: OSF+CEDAR Integration	CEDAR has been integrated into OSF and forked to work with Dataverse.	
Ozgur Karadeniz	Demo of KU Leuvenâs review dashboard	"KU Leuven has built an open-source tool to track, simplify, and semi-automate dataset review and curation process: <a href=""https://github.com/libis/rdm-review-dashboard"">https://github.com/libis/rdm-review-dashboard</a>"	
Arofan Gregory	DDI-CDI Basics/The CDIF Framework	DDI-CDI and CDIF	
Jan Range	Resumable downloads with dvcli	This demonstration showcases the new DVCLI feature that enables resumable downloads. By utilizing the Range header, downloads can be paused and resumed at any point, making it particularly beneficial when dealing with large files and experiencing technical interruptions that cause the download to stop. This feature will be available in an upcoming release of DVCLI.	
Ozgur Karadeniz, Dieuwertje Bloemen	Creating a Dataverse RO-Crate exporter with FAIR-IMPACT support	Dataverse Community Meeting 2024 (October 1, 2024)	
Documentation Working Group Kickoff	Kickoff of the Documentation Working Group	"This is the first meeting of the <a href=""https://www.gdcc.io/working-groups/documentation.html"">Documentation Working Group</a>. <a href=https://docs.google.com/document/d/1wUpmkOfQICuPQPbITqJ2oZSD2cSJBdHioEsaLck6_Es/edit?usp=sharing"">Agenda/notes</a>. All are welcome!"	
Guillermo Portas	Demo 3 of the new Dataverse frontend	This demo covers the collection page, configuring facets, creating a dataset, and uploading files.	
Alvin Stockdale, Peter Seibert, Amber Leahy, Nana Boateng	NLMâs Dataset Catalog and an updated to Data Explorer	The US NIH National Library of Medicine released a beta version of their Dataset Catalog. Also, Borealis released a new version of Data Explorer.	
Jan Range	A Rust library, a CLI and a DVUploader desktop app	"Jan has developed a new Rust library for Dataverse that includes a ""dvcli"" command line interface. A graphical DVUploader was demoed as well."	
Dieuwertje Bloemen, Ozgur Karadeniz	KU Leuven Review Dashboard	Tracks dataset reviews and semi-automates feedback generation.	
Slava Tykhonov	Dataverse, Large Language Models and knowledge graphs		
Ceilyn Boyd	Transforming a Digital Collection into a Data Collection	A discussion of the Slavery, Abolition, Emancipation, and Freedom (SAEF) Data Collection, an open access research dataset representing over 1200 items in Houghton Libraryâs SAEF collection. The SAEF Data Collection is Harvard Libraryâs first major endeavor to represent a significant print collection as data, supporting research methodologies involving computational analysis of images, Optical Character Recognition (OCR) text, and machine-generated transcriptions of manuscript materials. 	
The Dataverse Community	Dataverse Community Meeting Tenth Anniversary Retrospective Slideshow	A slideshow celebrating ten years of Dataverse Community Meetings.	dQSEJStNzeA
Philip Durbin, Oliver Bertuch, Jan Range	Distributed Metadata and Data with Dataverse	"A talk given at <a href=""https://distribits.live"">Distribits 2024</a> covering distributed metadata, OAI-PHM, distributed data, future architecture for a mixed-style storage configuration in JÃ¼lich DATA, and the use of Dataverse APIs to manage data with Python."	jSzwAIqjq-o
Mark Roth	Memento	"The goal of Memento is to ensure that data is reproducible and that accurate provenance is maintained in metadata. The Memento Framework does not pin itself to a specific programming language, back-end storage technology or compute framework. Rather, it focuses on a technique for generating and accessing data that preserves accurate metadata throughout. See more at: <a href=""https://github.com/twosigma/memento"">https://github.com/twosigma/memento</a>."	
ICPSR	TurboCurator: A new tool from ICPSR!	Securely create metadata using AI. Reliable study titles, descriptions, and keywords. Make your data more findable and reusable in only a few clicks. Harnessing the power of Next-Gen technology.  Using a standardized thesaurus developed by the world's leading social science data archive, TurboCurator can be enabled on any Dataverse instance. Ask your administrator to enable it today! 	Ac2GH_D5ZSI
Dataverse Community	Dataverse Community Meeting 2024 (March 8, 2024)		OTX432jGxIk
Dataverse Community	Dataverse Community Meeting 2024 (March 7, 2024)		oUifFP7ZQR0
Dataverse Community	Dataverse Community Meeting 2024 (March 6, 2024)		-5hYute0UE4
Arofan Gregory	WorldFAIR, CDIF, and Cross-Domain FAIR Resources: Dataverse as a FAIRer Repository	This presentation introduces CODATA and the WorldFAIR project and it's goal of helping to define what FAIR implementation means in practical terms, both within and between domains, disciplines, and infrastructures. Repositories play a key role in helping to realize the FAIR vision, but that vision demands that more fine-grained metadata be made available, in a variety of forms. Dataverse is a potential platform for helping data managers meet the increased demands of FAIR, while not placing an unrealistic burden on them. By better supporting standards such as DDI-CDI, SKOS, and others recommended by the WorldFAIR Cross-Domain Interoperability Framework (CDIF), Dataverse could help promote FAIR both within and across domains. This presentation looks at the current state of play for FAIR implementation, and at emerging efforts to enable Dataverse to play this important role.	LA1BbkV3Efk
Philip Conzett, Jon Crabtree, Jim Myers	Updates from the Global Dataverse Community Consortium	Yearly update from the GDCC.	LA1BbkV3Efk
Dataverse Community	Dataverse Community Meeting 2024 (March 5, 2024)		LA1BbkV3Efk
Dataverse Community	Dataverse Community Meeting 2024 (March 4, 2024)		fzJXDTP9Eco
Stefano Iacus	Bringing Data Close to Compute at Harvard Dataverse	With data becoming increasingly large and machine learning and AI equally popular also outside the hard sciences, we decided to exploit the versatility and cost effectiveness of the MOC infrastructure in terms of high performance computing (NERC) and storage (NESE). Moreover, being MOC an integrated infrastructure, it is possible to run computing on large data without moving data over the Internet.. In this talk we present a proof of concept of this approach where the Dataverse software is integrated with NESE and NERC realizing the goal of computing directly on large data.	9LmiVILZs_Q
Jorrit Poelen	A Dataverse Beyond The Internet	"The Internet will likely become less popular at some point, just like the Cassette Tape did in the 90s. In his talk, Jorrit discusses ""signed citations"" as a method to extend citations and their associated digital data beyond the Internet. Poelen, J. H. (2024, February 6). A Dataverse Beyond the Internet hash://md5/e34b50213fc407892d0810dabd742b1f. Zenodo. https://doi.org/10.5281/zenodo.10626561"	
