"Group.2","n","hours","col","patron_community"
"AAAS",12,94.75,"#D9D9D9","AAAS"
"Anthro",13,37.0833333333333,"#D9D9D9","Anthro"
"Asia",10,15.6166666666667,"#D9D9D9","Asia"
"CGA",14,18.4166666666667,"#D9D9D9","CGA"
"CMES",7,33.8333333333333,"#D9D9D9","CMES"
"Davis",4,13.1666666666667,"#D9D9D9","Davis"
"DRCLAS",6,12.1666666666667,"#D9D9D9","DRCLAS"
"DVN",2,4,"#D9D9D9","DVN"
"Economics",193,365.766666666667,"#FFED6F","Economics"
"EdLabs",9,8.66666666666667,"#D9D9D9","EdLabs"
"EdX",3,2.66666666666667,"#D9D9D9","EdX"
"Environment",9,34,"#D9D9D9","Environment"
"Extension School",21,58.1833333333333,"#D9D9D9","Extension School"
"Fairbank",7,9.41666666666667,"#D9D9D9","Fairbank"
"FAS/other",375,996,"#A9A9A9","FAS/other"
"Government",573,1438.78333333333,"#FB8072","Government"
"GSD",37,98.42,"#D9D9D9","GSD"
"GSE",59,141.883333333333,"#D9D9D9","GSE"
"HBS",193,457.4,"#A9A9A9","HBS"
"HBS Org Behavior",44,81.3333333333333,"#D9D9D9","HBS Org Behavior"
"Health Policy",124,311.833333333333,"#A9A9A9","Health Policy"
"HEB",227,855.216666666667,"#80B1D3","HEB"
"History",15,90.6666666666667,"#D9D9D9","History"
"Hist. of Sci.",3,82.5833333333333,"#D9D9D9","Hist. of Sci."
"HLS",39,60.1666666666667,"#D9D9D9","HLS"
"HMC",1,1,NA,"HMC"
"HMDC",2,3.5,NA,"HMDC"
"HMS",117,328.083333333333,"#A9A9A9","HMS"
"HSPH",397,856.333333333333,"#FDB462","HSPH"
"IQ",38,80.2,"#D9D9D9","IQ"
"IQ Director",2,10,"#D9D9D9","IQ Director"
"HKS",321,695.616666666667,"#A9A9A9","HKS"
"Lamont",1,0.333333333333333,NA,"Lamont"
"Linguistics",22,60.6666666666667,"#D9D9D9","Linguistics"
"MCB",6,10.5,"#D9D9D9","MCB"
"Medsoc",1,1,NA,"Medsoc"
"MIT",214,462.216666666667,"#D9D9D9","MIT"
"MIT Sloan",37,53.5666666666667,"#D9D9D9","MIT Sloan"
"OEB",76,244.933333333333,"#D9D9D9","OEB"
"Psychology",541,1259.25,"#B3DE69","Psychology"
"Radcliffe",2,4.66666666666667,"#D9D9D9","Radcliffe"
"Reischauer",1,1,NA,"Reischauer"
"RWJ",5,94,"#D9D9D9","RWJ"
"SEAS",37,82.85,"#D9D9D9","SEAS"
"Sociology",366,862.858333333333,"#BC80BD","Sociology"
"Stat",2,2.08333333333333,"#D9D9D9","Stat"
"Ukrain",1,2,NA,"Ukrain"
"WCFIA",39,110.833333333333,"#D9D9D9","WCFIA"
"WGS",1,2.5,NA,"WGS"
