"Group.1","x","timeWorked","cumTimeWorked","cumTickets","ticket_id"
"119074",2011-09-13,0.5,0.5,1,"119074"
"121978",2011-09-27,1,1.5,2,"121978"
"121541",2011-11-01,6,7.5,3,"121541"
"124122",2011-11-01,3,10.5,4,"124122"
"121925",2011-11-03,1,11.5,5,"121925"
"122155",2011-11-03,10,21.5,6,"122155"
"123466",2011-11-03,2.5,24,7,"123466"
"123915",2011-11-03,3,27,8,"123915"
"124023",2011-11-03,2,29,9,"124023"
"124522",2011-11-04,2,31,10,"124522"
"124095",2011-11-07,3.5,34.5,11,"124095"
"124788",2011-11-09,4.33333333333333,38.8333333333333,12,"124788"
"124443",2011-11-10,1,39.8333333333333,13,"124443"
"124707",2011-11-10,19.6666666666667,59.5,14,"124707"
"125082",2011-11-18,1,60.5,15,"125082"
"124617",2011-11-21,38,98.5,16,"124617"
"125007",2011-11-21,1.5,100,17,"125007"
"125268",2011-11-21,20.3333333333333,120.333333333333,18,"125268"
"126005",2011-11-22,12,132.333333333333,19,"126005"
"126041",2011-11-22,3,135.333333333333,20,"126041"
"126263",2011-11-29,8.5,143.833333333333,21,"126263"
"126745",2011-12-05,2.08333333333333,145.916666666667,22,"126745"
"126499",2011-12-07,20,165.916666666667,23,"126499"
"126539",2011-12-07,4,169.916666666667,24,"126539"
"126906",2011-12-08,3,172.916666666667,25,"126906"
"127127",2011-12-09,3.5,176.416666666667,26,"127127"
"127128",2011-12-09,6,182.416666666667,27,"127128"
"127253",2011-12-12,62,244.416666666667,28,"127253"
"127238",2011-12-15,26,270.416666666667,29,"127238"
"127463",2011-12-15,0.25,270.666666666667,30,"127463"
"127501",2011-12-16,7,277.666666666667,31,"127501"
"126335",2011-12-19,4,281.666666666667,32,"126335"
"126879",2011-12-19,16,297.666666666667,33,"126879"
"126961",2011-12-19,3.5,301.166666666667,34,"126961"
"127186",2011-12-19,0.333333333333333,301.5,35,"127186"
"127334",2011-12-20,24.5,326,36,"127334"
"125040",2011-12-22,1.5,327.5,37,"125040"
"127395",2011-12-22,7,334.5,38,"127395"
"125968",2012-01-04,4,338.5,39,"125968"
"126148",2012-01-04,3,341.5,40,"126148"
"127250",2012-01-04,41,382.5,41,"127250"
"128243",2012-01-05,3.5,386,42,"128243"
"128317",2012-01-05,3,389,43,"128317"
"128318",2012-01-05,4,393,44,"128318"
"128320",2012-01-05,12,405,45,"128320"
"128321",2012-01-05,1,406,46,"128321"
"128322",2012-01-05,1,407,47,"128322"
"123368",2012-01-09,0.25,407.25,48,"123368"
"127053",2012-01-09,1,408.25,49,"127053"
"128882",2012-01-09,1,409.25,50,"128882"
"128997",2012-01-10,14,423.25,51,"128997"
"121213",2012-01-18,36,459.25,52,"121213"
"129400",2012-01-18,0.5,459.75,53,"129400"
"127540",2012-01-19,7,466.75,54,"127540"
"129156",2012-01-19,9,475.75,55,"129156"
"129715",2012-01-20,0.75,476.5,56,"129715"
"127869",2012-01-22,0.5,477,57,"127869"
"129934",2012-01-23,2,479,58,"129934"
"130020",2012-01-24,1.5,480.5,59,"130020"
"130204",2012-01-24,2,482.5,60,"130204"
"128146",2012-01-25,3,485.5,61,"128146"
"130274",2012-01-25,66,551.5,62,"130274"
"130397",2012-01-27,5.83333333333333,557.333333333333,63,"130397"
"128861",2012-01-30,11,568.333333333333,64,"128861"
"130618",2012-01-30,3,571.333333333333,65,"130618"
