id	Group.2	n	hours	col	patron_community	percentage
0	Government	573	1438.7833333333301	#FB8072	Government	14
1	Psychology	541	1259.25	#B3DE69	Psychology	13
2	HSPH	397	856.333333333333	#FDB462	HSPH	9
3	FAS/other	375	996.0	#A9A9A9	FAS/other	9
4	Sociology	366	862.858333333333	#BC80BD	Sociology	9
5	HKS	321	695.616666666667	#A9A9A9	HKS	8
6	HEB	227	855.216666666667	#80B1D3	HEB	5
7	MIT	214	462.21666666666704	#D9D9D9	MIT	5
8	HBS	193	457.4	#A9A9A9	HBS	5
9	Economics	193	365.76666666666705	#FFED6F	Economics	5
10	Health Policy	124	311.83333333333303	#A9A9A9	Health Policy	3
11	HMS	117	328.08333333333303	#A9A9A9	HMS	3
12	OEB	76	244.93333333333302	#D9D9D9	OEB	2
13	GSE	59	141.88333333333298	#D9D9D9	GSE	1
14	HBS Org Behavior	44	81.3333333333333	#D9D9D9	HBS Org Behavior	1
15	HLS	39	60.1666666666667	#D9D9D9	HLS	1
16	WCFIA	39	110.833333333333	#D9D9D9	WCFIA	1
17	IQ	38	80.2	#D9D9D9	IQ	1
18	SEAS	37	82.85	#D9D9D9	SEAS	1
19	MIT Sloan	37	53.5666666666667	#D9D9D9	MIT Sloan	1
20	GSD	37	98.42	#D9D9D9	GSD	1
21	Linguistics	22	60.6666666666667	#D9D9D9	Linguistics	1
22	Other	160	647.8000000000001		Other	4
