financial_year,patron_community,unique_tickets
FY21,Economics,5
FY21,Extension School,3
FY21,FAS/other,14
FY21,GSD,5
FY21,GSE,3
FY21,Government,30
FY21,HBS,22
FY21,HBS Org Behavior,18
FY21,HEB,9
FY21,HKS,44
FY21,HMS,9
FY21,HSPH,40
FY21,Health Policy,8
FY21,IQ,2
FY21,Linguistics,2
FY21,MIT,25
FY21,MIT Sloan,7
FY21,OEB,1
FY21,Other,7
FY21,Psychology,17
FY21,SEAS,4
FY21,Sociology,26
FY21,WCFIA,4
FY22,Economics,12
FY22,Extension School,1
FY22,FAS/other,11
FY22,GSD,4
FY22,GSE,4
FY22,Government,44
FY22,HBS,15
FY22,HBS Org Behavior,11
FY22,HEB,8
FY22,HKS,23
FY22,HMS,10
FY22,HSPH,43
FY22,Health Policy,9
FY22,IQ,3
FY22,Linguistics,1
FY22,MIT,12
FY22,MIT Sloan,11
FY22,OEB,2
FY22,Other,7
FY22,Psychology,15
FY22,SEAS,10
FY22,Sociology,16
FY22,WCFIA,3
FY23,Economics,10
FY23,Extension School,1
FY23,FAS/other,13
FY23,GSD,6
FY23,GSE,5
FY23,Government,29
FY23,HBS,14
FY23,HBS Org Behavior,4
FY23,HEB,5
FY23,HKS,18
FY23,HLS,4
FY23,HMS,9
FY23,HSPH,42
FY23,Health Policy,3
FY23,IQ,1
FY23,Linguistics,4
FY23,MIT,25
FY23,MIT Sloan,7
FY23,OEB,2
FY23,Other,10
FY23,Psychology,9
FY23,Sociology,10
FY23,WCFIA,2
FY24,Economics,2
FY24,Extension School,3
FY24,FAS/other,15
FY24,GSD,3
FY24,GSE,2
FY24,Government,21
FY24,HBS,14
FY24,HBS Org Behavior,12
FY24,HEB,3
FY24,HKS,10
FY24,HLS,4
FY24,HMS,26
FY24,HSPH,43
FY24,Health Policy,3
FY24,IQ,6
FY24,Linguistics,2
FY24,MIT,39
FY24,MIT Sloan,6
FY24,OEB,2
FY24,Other,3
FY24,Psychology,25
FY24,SEAS,2
FY24,Sociology,9
FY24,WCFIA,1
