patron_community,fyear_quarter,unique_tickets,cumulative_tickets
FAS/other,FY23 Q1,5,5
Government,FY23 Q1,8,8
HBS Org Behavior,FY23 Q1,0,0
HKS,FY23 Q1,6,6
HMS,FY23 Q1,3,3
HSPH,FY23 Q1,8,8
MIT,FY23 Q1,3,3
Psychology,FY23 Q1,2,2
FAS/other,FY23 Q2,4,9
Government,FY23 Q2,6,14
HBS Org Behavior,FY23 Q2,3,3
HKS,FY23 Q2,2,8
HMS,FY23 Q2,2,5
HSPH,FY23 Q2,5,13
MIT,FY23 Q2,2,5
Psychology,FY23 Q2,2,4
FAS/other,FY23 Q3,2,11
Government,FY23 Q3,4,18
HBS Org Behavior,FY23 Q3,1,4
HKS,FY23 Q3,4,12
HMS,FY23 Q3,2,7
HSPH,FY23 Q3,14,27
MIT,FY23 Q3,4,9
Psychology,FY23 Q3,2,6
FAS/other,FY23 Q4,1,12
Government,FY23 Q4,7,25
HBS Org Behavior,FY23 Q4,0,4
HKS,FY23 Q4,4,16
HMS,FY23 Q4,2,9
HSPH,FY23 Q4,11,38
MIT,FY23 Q4,13,22
Psychology,FY23 Q4,2,8
FAS/other,FY24 Q1,3,15
Government,FY24 Q1,3,28
HBS Org Behavior,FY24 Q1,3,7
HKS,FY24 Q1,2,18
HMS,FY24 Q1,3,12
HSPH,FY24 Q1,14,52
MIT,FY24 Q1,11,33
Psychology,FY24 Q1,5,13
FAS/other,FY24 Q2,4,19
Government,FY24 Q2,7,35
HBS Org Behavior,FY24 Q2,4,11
HKS,FY24 Q2,1,19
HMS,FY24 Q2,3,15
HSPH,FY24 Q2,4,56
MIT,FY24 Q2,4,37
Psychology,FY24 Q2,7,20
FAS/other,FY24 Q3,6,25
Government,FY24 Q3,5,40
HBS Org Behavior,FY24 Q3,3,14
HKS,FY24 Q3,3,22
HMS,FY24 Q3,6,21
HSPH,FY24 Q3,6,62
MIT,FY24 Q3,10,47
Psychology,FY24 Q3,6,26
FAS/other,FY24 Q4,0,25
Government,FY24 Q4,5,45
HBS Org Behavior,FY24 Q4,3,17
HKS,FY24 Q4,2,24
HMS,FY24 Q4,5,26
HSPH,FY24 Q4,11,73
MIT,FY24 Q4,13,60
Psychology,FY24 Q4,3,29
FAS/other,FY25 Q1,1,26
Government,FY25 Q1,6,51
HBS Org Behavior,FY25 Q1,6,23
HKS,FY25 Q1,2,26
HMS,FY25 Q1,5,31
HSPH,FY25 Q1,7,80
MIT,FY25 Q1,11,71
Psychology,FY25 Q1,7,36
FAS/other,FY25 Q2,1,27
Government,FY25 Q2,5,56
HBS Org Behavior,FY25 Q2,3,26
HKS,FY25 Q2,2,28
HMS,FY25 Q2,1,32
HSPH,FY25 Q2,8,88
MIT,FY25 Q2,7,78
Psychology,FY25 Q2,8,44
FAS/other,FY25 Q3,2,29
Government,FY25 Q3,2,58
HBS Org Behavior,FY25 Q3,5,31
HKS,FY25 Q3,5,33
HMS,FY25 Q3,2,34
HSPH,FY25 Q3,6,94
MIT,FY25 Q3,8,86
Psychology,FY25 Q3,7,51
FAS/other,FY25 Q4,0,29
Government,FY25 Q4,2,60
HBS Org Behavior,FY25 Q4,3,34
HKS,FY25 Q4,1,34
HMS,FY25 Q4,1,35
HSPH,FY25 Q4,4,98
MIT,FY25 Q4,8,94
Psychology,FY25 Q4,4,55
FAS/other,FY26 Q1,2,31
Government,FY26 Q1,1,61
HBS Org Behavior,FY26 Q1,0,34
HKS,FY26 Q1,0,34
HMS,FY26 Q1,2,37
HSPH,FY26 Q1,7,105
MIT,FY26 Q1,12,106
Psychology,FY26 Q1,5,60
FAS/other,FY26 Q2,7,38
Government,FY26 Q2,1,62
HBS Org Behavior,FY26 Q2,0,34
HKS,FY26 Q2,0,34
HMS,FY26 Q2,3,40
HSPH,FY26 Q2,5,110
MIT,FY26 Q2,12,118
Psychology,FY26 Q2,2,62
