"stringsReq","Freq","colRs","n","request_type"
"Statistics Support",1939,"#FB8072",1939,"Statistics Support"
"R",1219,"#80B1D3",1219,"R"
"Stata",761,"#B3DE69",761,"Stata"
"RCE",244,"#D9D9D9",244,"RCE"
"Python",224,"#D9D9D9",224,"Python"
"SPSS",119,"#D9D9D9",119,"SPSS"
"Web Technology",115,"#D9D9D9",115,"Web Technology"
"SAS",94,"#D9D9D9",94,"SAS"
"Text Scraping",89,"#D9D9D9",89,"Text Scraping"
"Other Software",77,"#D9D9D9",77,"Other Software"
"Database",64,"#D9D9D9",64,"Database"
"Scripting Request",64,"#D9D9D9",64,"Scripting Request"
"Text Mining",58,"#D9D9D9",58,"Text Mining"
"Research Design",56,"#D9D9D9",56,"Research Design"
"Matlab",51,"#D9D9D9",51,"Matlab"
"Big Data",39,"#D9D9D9",39,"Big Data"
"GIS",37,"#D9D9D9",37,"GIS"
"Data Inquiry",36,"#D9D9D9",36,"Data Inquiry"
"CAQDA",33,"#D9D9D9",33,"CAQDA"
"LaTeX",28,"#D9D9D9",28,"LaTeX"
"Social Network Analysis",25,"#D9D9D9",25,"Social Network Analysis"
"Survey Software",19,"#D9D9D9",19,"Survey Software"
"Excel",12,"#D9D9D9",12,"Excel"
"Mplus",11,"#D9D9D9",11,"Mplus"
"Data Security",9,"#D9D9D9",9,"Data Security"
"SQL",8,"#D9D9D9",8,"SQL"
"Workshop Enquiry",8,"#D9D9D9",8,"Workshop Enquiry"
"C/C++",7,"#D9D9D9",7,"C/C++"
" Web Technology",1,"#D9D9D9",1," Web Technology"
