"year","quarter","year_quarter","quarter_year","n_tickets","n_hours"
"2015","Q1","2015 Q1","Q1 2015",131,279.766666666667
"2015","Q2","2015 Q2","Q2 2015",99,193.45
"2015","Q3","2015 Q3","Q3 2015",102,184.7
"2015","Q4","2015 Q4","Q4 2015",123,225.083333333333
"2016","Q1","2016 Q1","Q1 2016",169,331.583333333333
"2016","Q2","2016 Q2","Q2 2016",129,261.916666666667
"2016","Q3","2016 Q3","Q3 2016",126,260.166666666667
"2016","Q4","2016 Q4","Q4 2016",119,198.083333333333
"2017","Q1","2017 Q1","Q1 2017",127,186.666666666667
"2017","Q2","2017 Q2","Q2 2017",129,244.583333333333
"2017","Q3","2017 Q3","Q3 2017",126,199.416666666667
"2017","Q4","2017 Q4","Q4 2017",109,150.216666666667
"2018","Q1","2018 Q1","Q1 2018",158,258
"2018","Q2","2018 Q2","Q2 2018",136,179.566666666667
"2018","Q3","2018 Q3","Q3 2018",173,214.95
"2018","Q4","2018 Q4","Q4 2018",154,360.866666666667
"2019","Q1","2019 Q1","Q1 2019",188,350.916666666667
"2019","Q2","2019 Q2","Q2 2019",164,275.933333333333
"2019","Q3","2019 Q3","Q3 2019",149,236.383333333333
"2019","Q4","2019 Q4","Q4 2019",132,327.366666666667
"2020","Q1","2020 Q1","Q1 2020",110,228.916666666667
"2020","Q2","2020 Q2","Q2 2020",84,197.666666666667
