"Group.1","Group.2","x","timeWorked","cumTimeWorked","cumTickets","quarter","date","patron_community","ticket_id"
"124122","Economics",2011-11-01,3,3,1,2011 Q4,2011-11-01,"Economics","124122"
"123915","Economics",2011-11-03,3,6,2,2011 Q4,2011-11-03,"Economics","123915"
"126906","Economics",2011-12-08,3,9,3,2011 Q4,2011-12-08,"Economics","126906"
"127238","Economics",2011-12-15,26,35,4,2011 Q4,2011-12-15,"Economics","127238"
"128322","Economics",2012-01-05,1,36,5,2012 Q1,2012-01-05,"Economics","128322"
"130760","Economics",2012-01-31,2.66666666666667,38.6666666666667,6,2012 Q1,2012-01-31,"Economics","130760"
"130990","Economics",2012-02-03,1,39.6666666666667,7,2012 Q1,2012-02-03,"Economics","130990"
"131453","Economics",2012-02-09,3.83333333333333,43.5,8,2012 Q1,2012-02-09,"Economics","131453"
"131489","Economics",2012-02-10,1.91666666666667,45.4166666666667,9,2012 Q1,2012-02-10,"Economics","131489"
"132219","Economics",2012-02-22,0.5,45.9166666666667,10,2012 Q1,2012-02-22,"Economics","132219"
"132197","Economics",2012-02-27,0.5,46.4166666666667,11,2012 Q1,2012-02-27,"Economics","132197"
"135236","Economics",2012-04-06,18.3333333333333,64.75,12,2012 Q2,2012-04-06,"Economics","135236"
"135603","Economics",2012-04-11,2.75,67.5,13,2012 Q2,2012-04-11,"Economics","135603"
"133818","Economics",2012-04-16,4,71.5,14,2012 Q2,2012-04-16,"Economics","133818"
"135934","Economics",2012-04-18,3,74.5,15,2012 Q2,2012-04-18,"Economics","135934"
"136062","Economics",2012-04-20,4.5,79,16,2012 Q2,2012-04-20,"Economics","136062"
"136010","Economics",2012-04-25,5,84,17,2012 Q2,2012-04-25,"Economics","136010"
"136383","Economics",2012-04-28,1,85,18,2012 Q2,2012-04-28,"Economics","136383"
"136499","Economics",2012-04-30,0.666666666666667,85.6666666666667,19,2012 Q2,2012-04-30,"Economics","136499"
"138935","Economics",2012-06-21,2,87.6666666666667,20,2012 Q2,2012-06-21,"Economics","138935"
"141751","Economics",2012-08-10,6,93.6666666666667,21,2012 Q3,2012-08-10,"Economics","141751"
"143690","Economics",2012-09-07,3,96.6666666666667,22,2012 Q3,2012-09-07,"Economics","143690"
"147035","Economics",2012-11-07,1.5,98.1666666666667,23,2012 Q4,2012-11-07,"Economics","147035"
"147174","Economics",2012-11-20,0.25,98.4166666666667,24,2012 Q4,2012-11-20,"Economics","147174"
"148135","Economics",2012-11-20,0.333333333333333,98.75,25,2012 Q4,2012-11-20,"Economics","148135"
"149775","Economics",2012-12-18,0.25,99,26,2012 Q4,2012-12-18,"Economics","149775"
