"date","patron_community","n_tickets","cum_n_tickets"
"2011/11","Economics",2,2
"2011/12","Economics",2,4
"2012/01","Economics",2,6
"2012/02","Economics",5,11
"2012/04","Economics",8,19
"2012/06","Economics",1,20
"2012/08","Economics",1,21
"2012/09","Economics",1,22
"2012/11","Economics",3,25
"2012/12","Economics",1,26
"2013/01","Economics",1,27
"2013/02","Economics",1,28
"2013/03","Economics",1,29
"2013/04","Economics",5,34
"2013/05","Economics",1,35
"2013/07","Economics",1,36
"2013/08","Economics",2,38
"2013/09","Economics",4,42
"2013/10","Economics",2,44
"2013/11","Economics",4,48
"2013/12","Economics",2,50
"2014/01","Economics",3,53
"2014/02","Economics",2,55
"2014/03","Economics",2,57
"2014/05","Economics",3,60
"2014/06","Economics",3,63
"2014/07","Economics",2,65
"2014/08","Economics",2,67
"2014/09","Economics",2,69
"2014/10","Economics",4,73
"2015/01","Economics",1,74
"2015/03","Economics",7,81
"2015/04","Economics",2,83
"2015/05","Economics",2,85
"2015/06","Economics",1,86
"2015/07","Economics",5,91
"2015/09","Economics",1,92
"2015/11","Economics",3,95
"2015/12","Economics",1,96
"2016/01","Economics",1,97
"2016/02","Economics",5,102
"2016/03","Economics",1,103
"2016/05","Economics",1,104
"2016/08","Economics",3,107
"2016/09","Economics",1,108
"2011/09","Government",1,1
"2011/11","Government",3,4
"2011/12","Government",3,7
"2012/01","Government",8,15
"2012/02","Government",3,18
"2012/03","Government",8,26
"2012/04","Government",8,34
"2012/05","Government",5,39
"2012/06","Government",6,45
"2012/07","Government",4,49
"2012/08","Government",3,52
"2012/09","Government",3,55
"2012/10","Government",4,59
"2012/11","Government",7,66
"2012/12","Government",5,71
"2013/01","Government",2,73
"2013/02","Government",2,75
"2013/03","Government",6,81
"2013/04","Government",2,83
"2013/05","Government",9,92
"2013/06","Government",7,99
"2013/07","Government",12,111
"2013/08","Government",16,127
"2013/09","Government",6,133
"2013/10","Government",9,142
"2013/11","Government",13,155
"2013/12","Government",9,164
"2014/01","Government",11,175
"2014/02","Government",8,183
"2014/03","Government",7,190
"2014/04","Government",4,194
"2014/05","Government",7,201
"2014/06","Government",2,203
"2014/07","Government",5,208
"2014/08","Government",4,212
"2014/09","Government",4,216
"2014/10","Government",8,224
"2014/11","Government",6,230
"2014/12","Government",1,231
"2015/01","Government",1,232
"2015/02","Government",3,235
"2015/03","Government",6,241
"2015/04","Government",1,242
"2015/05","Government",7,249
"2015/06","Government",6,255
"2015/07","Government",6,261
"2015/08","Government",5,266
"2015/09","Government",8,274
"2015/10","Government",6,280
"2015/11","Government",7,287
"2015/12","Government",2,289
"2016/01","Government",14,303
"2016/02","Government",13,316
"2016/03","Government",5,321
"2016/04","Government",3,324
"2016/05","Government",9,333
"2016/06","Government",10,343
"2016/07","Government",6,349
"2016/08","Government",7,356
"2016/09","Government",3,359
"2011/12","Health Policy",1,1
"2012/03","Health Policy",1,2
"2012/04","Health Policy",1,3
"2012/09","Health Policy",2,5
"2012/10","Health Policy",1,6
"2012/11","Health Policy",5,11
"2012/12","Health Policy",7,18
"2013/01","Health Policy",3,21
"2013/02","Health Policy",1,22
"2013/03","Health Policy",5,27
"2013/04","Health Policy",1,28
"2013/05","Health Policy",1,29
"2013/06","Health Policy",3,32
"2013/07","Health Policy",4,36
"2013/08","Health Policy",4,40
"2013/09","Health Policy",5,45
"2013/10","Health Policy",3,48
"2013/11","Health Policy",4,52
"2013/12","Health Policy",6,58
"2014/01","Health Policy",7,65
"2014/02","Health Policy",5,70
"2014/03","Health Policy",4,74
"2014/04","Health Policy",3,77
"2014/05","Health Policy",1,78
"2014/06","Health Policy",1,79
"2014/07","Health Policy",1,80
"2014/08","Health Policy",1,81
"2014/09","Health Policy",1,82
"2014/10","Health Policy",2,84
"2014/11","Health Policy",1,85
"2015/02","Health Policy",2,87
"2015/03","Health Policy",2,89
"2015/04","Health Policy",1,90
"2015/06","Health Policy",2,92
"2015/09","Health Policy",1,93
"2015/10","Health Policy",1,94
"2015/12","Health Policy",1,95
"2016/03","Health Policy",2,97
"2016/04","Health Policy",1,98
"2016/06","Health Policy",1,99
"2016/07","Health Policy",1,100
"2011/11","HEB",1,1
"2012/01","HEB",1,2
"2012/04","HEB",2,4
"2012/05","HEB",3,7
"2012/06","HEB",3,10
"2012/07","HEB",4,14
"2012/09","HEB",5,19
"2012/11","HEB",2,21
"2012/12","HEB",2,23
"2013/01","HEB",6,29
"2013/02","HEB",2,31
"2013/03","HEB",3,34
"2013/04","HEB",3,37
"2013/05","HEB",3,40
"2013/06","HEB",1,41
"2013/07","HEB",2,43
"2013/08","HEB",4,47
"2013/09","HEB",2,49
"2013/10","HEB",2,51
"2013/11","HEB",3,54
"2014/01","HEB",2,56
"2014/02","HEB",1,57
"2014/03","HEB",4,61
"2014/04","HEB",7,68
"2014/05","HEB",1,69
"2014/06","HEB",6,75
"2014/07","HEB",2,77
"2014/08","HEB",2,79
"2014/09","HEB",3,82
"2014/10","HEB",1,83
"2014/12","HEB",2,85
"2015/02","HEB",2,87
"2015/03","HEB",1,88
"2015/04","HEB",3,91
"2015/05","HEB",2,93
"2015/07","HEB",1,94
"2015/09","HEB",3,97
"2015/10","HEB",3,100
"2015/11","HEB",4,104
"2015/12","HEB",1,105
"2016/01","HEB",1,106
"2016/02","HEB",1,107
"2016/03","HEB",3,110
"2016/04","HEB",7,117
"2016/05","HEB",2,119
"2016/06","HEB",2,121
"2016/07","HEB",3,124
"2016/08","HEB",2,126
"2016/09","HEB",4,130
"2011/11","HSPH",3,3
"2011/12","HSPH",3,6
"2012/01","HSPH",3,9
"2012/02","HSPH",2,11
"2012/03","HSPH",2,13
"2012/04","HSPH",1,14
"2012/07","HSPH",1,15
"2012/08","HSPH",2,17
"2012/09","HSPH",1,18
"2012/10","HSPH",3,21
"2012/11","HSPH",4,25
"2012/12","HSPH",3,28
"2013/01","HSPH",5,33
"2013/02","HSPH",1,34
"2013/03","HSPH",2,36
"2013/04","HSPH",1,37
"2013/05","HSPH",2,39
"2013/06","HSPH",3,42
"2013/07","HSPH",5,47
"2013/08","HSPH",4,51
"2013/09","HSPH",1,52
"2013/10","HSPH",3,55
"2013/11","HSPH",3,58
"2013/12","HSPH",2,60
"2014/01","HSPH",3,63
"2014/02","HSPH",1,64
"2014/03","HSPH",2,66
"2014/04","HSPH",3,69
"2014/06","HSPH",2,71
"2014/07","HSPH",1,72
"2014/09","HSPH",4,76
"2014/10","HSPH",4,80
"2014/11","HSPH",6,86
"2014/12","HSPH",5,91
"2015/01","HSPH",2,93
"2015/02","HSPH",2,95
"2015/03","HSPH",4,99
"2015/04","HSPH",5,104
"2015/05","HSPH",3,107
"2015/06","HSPH",3,110
"2015/07","HSPH",7,117
"2015/08","HSPH",1,118
"2015/09","HSPH",4,122
"2015/10","HSPH",8,130
"2015/11","HSPH",1,131
"2015/12","HSPH",3,134
"2016/01","HSPH",6,140
"2016/02","HSPH",4,144
"2016/03","HSPH",3,147
"2016/04","HSPH",3,150
"2016/05","HSPH",1,151
"2016/06","HSPH",4,155
"2016/07","HSPH",4,159
"2016/08","HSPH",1,160
"2016/09","HSPH",9,169
"2012/01","HKS",4,4
"2012/02","HKS",2,6
"2012/03","HKS",2,8
"2012/04","HKS",7,15
"2012/05","HKS",6,21
"2012/07","HKS",1,22
"2012/09","HKS",1,23
"2012/11","HKS",3,26
"2013/02","HKS",4,30
"2013/03","HKS",4,34
"2013/04","HKS",3,37
"2013/05","HKS",1,38
"2013/06","HKS",4,42
"2013/07","HKS",3,45
"2013/09","HKS",1,46
"2013/10","HKS",3,49
"2013/11","HKS",1,50
"2013/12","HKS",1,51
"2014/01","HKS",5,56
"2014/02","HKS",6,62
"2014/03","HKS",5,67
"2014/04","HKS",4,71
"2014/05","HKS",5,76
"2014/07","HKS",4,80
"2014/08","HKS",5,85
"2014/09","HKS",1,86
"2014/10","HKS",3,89
"2014/11","HKS",2,91
"2014/12","HKS",2,93
"2015/01","HKS",3,96
"2015/02","HKS",1,97
"2015/03","HKS",7,104
"2015/04","HKS",4,108
"2015/05","HKS",6,114
"2015/06","HKS",2,116
"2015/07","HKS",2,118
"2015/08","HKS",1,119
"2015/09","HKS",2,121
"2015/10","HKS",4,125
"2015/11","HKS",5,130
"2015/12","HKS",1,131
"2016/01","HKS",3,134
"2016/02","HKS",4,138
"2016/03","HKS",9,147
"2016/04","HKS",2,149
"2016/05","HKS",1,150
"2016/06","HKS",2,152
"2016/07","HKS",1,153
"2016/08","HKS",4,157
"2016/09","HKS",1,158
"2011/11","Psychology",1,1
"2012/02","Psychology",1,2
"2012/04","Psychology",2,4
"2012/05","Psychology",4,8
"2012/06","Psychology",6,14
"2012/07","Psychology",6,20
"2012/08","Psychology",3,23
"2012/09","Psychology",4,27
"2012/10","Psychology",3,30
"2012/11","Psychology",4,34
"2012/12","Psychology",5,39
"2013/01","Psychology",1,40
