-"year","quarter","n","xMax","quarterYear","yearQuarter_report","yearQuarter"
"2015","Q1",131,279.766666666667,"Q1 2015","Q1 2015","2015 Q1"
"2015","Q2",99,193.45,"Q2 2015","Q2 2015","2015 Q2"
"2015","Q3",102,184.7,"Q3 2015","Q3 2015","2015 Q3"
"2015","Q4",123,225.083333333333,"Q4 2015","Q4 2015","2015 Q4"
"2016","Q1",169,331.583333333333,"Q1 2016","Q1 2016","2016 Q1"
"2016","Q2",129,261.916666666667,"Q2 2016","Q2 2016","2016 Q2"
"2016","Q3",126,260.166666666667,"Q3 2016","Q3 2016","2016 Q3"
"2016","Q4",119,198.083333333333,"Q4 2016","Q4 2016","2016 Q4"
"2017","Q1",127,186.666666666667,"Q1 2017","Q1 2017","2017 Q1"
"2017","Q2",129,244.583333333333,"Q2 2017","Q2 2017","2017 Q2"
"2017","Q3",126,199.416666666667,"Q3 2017","Q3 2017","2017 Q3"
"2017","Q4",109,150.216666666667,"Q4 2017","Q4 2017","2017 Q4"
"2018","Q1",158,258,"Q1 2018","Q1 2018","2018 Q1"
"2018","Q2",136,179.566666666667,"Q2 2018","Q2 2018","2018 Q2"
"2018","Q3",173,214.95,"Q3 2018","Q3 2018","2018 Q3"
"2018","Q4",154,360.866666666667,"Q4 2018","Q4 2018","2018 Q4"
"2019","Q1",188,350.916666666667,"Q1 2019","Q1 2019","2019 Q1"
"2019","Q2",164,275.933333333333,"Q2 2019","Q2 2019","2019 Q2"
"2019","Q3",149,236.383333333333,"Q3 2019","Q3 2019","2019 Q3"
"2019","Q4",132,327.366666666667,"Q4 2019","Q4 2019","2019 Q4"
"2020","Q1",110,228.916666666667,"Q1 2020","Q1 2020","2020 Q1"
"2020","Q2",91,198.666666666667,"Q2 2020","Q2 2020","2020 Q2"
