"Year","quarter","n","quarterYear","yearQuarter_report","yearQuarter"
"2011","Q3",2,"Q3 2011","Q3 2011","2011 Q3"
"2011","Q4",40,"Q4 2011","Q4 2011","2011 Q4"
"2012","Q1",102,"Q1 2012","Q1 2012","2012 Q1"
"2012","Q2",119,"Q2 2012","Q2 2012","2012 Q2"
"2012","Q3",100,"Q3 2012","Q3 2012","2012 Q3"
"2012","Q4",139,"Q4 2012","Q4 2012","2012 Q4"
"2013","Q1",121,"Q1 2013","Q1 2013","2013 Q1"
"2013","Q2",130,"Q2 2013","Q2 2013","2013 Q2"
"2013","Q3",173,"Q3 2013","Q3 2013","2013 Q3"
"2013","Q4",166,"Q4 2013","Q4 2013","2013 Q4"
"2014","Q1",187,"Q1 2014","Q1 2014","2014 Q1"
"2014","Q2",174,"Q2 2014","Q2 2014","2014 Q2"
"2014","Q3",129,"Q3 2014","Q3 2014","2014 Q3"
"2014","Q4",148,"Q4 2014","Q4 2014","2014 Q4"
"2015","Q1",162,"Q1 2015","Q1 2015","2015 Q1"
"2015","Q2",125,"Q2 2015","Q2 2015","2015 Q2"
"2015","Q3",131,"Q3 2015","Q3 2015","2015 Q3"
"2015","Q4",138,"Q4 2015","Q4 2015","2015 Q4"
"2016","Q1",198,"Q1 2016","Q1 2016","2016 Q1"
"2016","Q2",165,"Q2 2016","Q2 2016","2016 Q2"
"2016","Q3",154,"Q3 2016","Q3 2016","2016 Q3"
"2016","Q4",140,"Q4 2016","Q4 2016","2016 Q4"
"2017","Q1",151,"Q1 2017","Q1 2017","2017 Q1"
"2017","Q2",149,"Q2 2017","Q2 2017","2017 Q2"
"2017","Q3",151,"Q3 2017","Q3 2017","2017 Q3"
"2017","Q4",127,"Q4 2017","Q4 2017","2017 Q4"
"2018","Q1",186,"Q1 2018","Q1 2018","2018 Q1"
"2018","Q2",159,"Q2 2018","Q2 2018","2018 Q2"
"2018","Q3",195,"Q3 2018","Q3 2018","2018 Q3"
"2018","Q4",183,"Q4 2018","Q4 2018","2018 Q4"
"2019","Q1",220,"Q1 2019","Q1 2019","2019 Q1"
"2019","Q2",195,"Q2 2019","Q2 2019","2019 Q2"
