id	value	count	period
0	Permissions	126	FY2021
1	Authentication	126	FY2021
2	File upload	86	FY2021
3	Dataset publishing	80	FY2021
4	File download	34	FY2021
5	Metadata Inquiry	28	FY2021
6	Dataset editing	27	FY2021
7	Submit for Review	24	FY2021
8	Deaccessioning	19	FY2021
9	Dataverse Creation	18	FY2021
10	Dataset creation	18	FY2021
11	Citation	16	FY2021
12	Data Explorer	10	FY2021
13	Guestbook	10	FY2021
14	Return to Author	10	FY2021
15	File Hierarchy	9	FY2021
16	Versioning	8	FY2021
17	Dataverse editing	7	FY2021
18	Notifications	7	FY2021
19	APIs	6	FY2021
20	File Level DOI	4	FY2021
21	Tabular data file	4	FY2021
22	Other	141	FY2021
