month	count
2016-05	180192
2016-06	183515
2016-07	185202
2016-08	201899
2016-09	220962
2016-10	227484
2016-11	234285
2016-12	239110
2017-01	241523
2017-02	244410
2017-03	251008
2017-04	254211
2017-05	257196
2017-06	263590
2017-07	268003
2017-08	271045
2017-09	273638
2017-10	276938
2017-11	279769
2017-12	285139
2018-01	290364
2018-02	294283
2018-03	299226
2018-04	306971
2018-05	318022
2018-06	327548
2018-07	335337
2018-08	343132
2018-09	350887
2018-10	361931
2018-11	462614
2018-12	469663
2019-01	479817
2019-02	493656
2019-03	501911
2019-04	511552
2019-05	518257
2019-06	522974
2019-07	531519
2019-08	543130
2019-09	559071
2019-10	574391
2019-11	595756
2019-12	607366
2020-01	624954
2020-02	636897
2020-03	660765
2020-04	672314
2020-05	690502
2020-06	775281
2020-07	799235
2020-08	814329
2020-09	856288
2020-10	881462
2020-11	911038
2020-12	939948
2021-01	978256
2021-02	1001228
2021-03	1043934
2021-04	1097338
2021-05	1215732
2021-06	1276846
2021-07	1316870
2021-08	1346413
2021-09	1444612
2021-10	1463593
