Group	metric	Icon	URL	Color	Period	Total
Undergrad Student Support	New Undergraduate Student Appointments	fa fa-file-signature	bo.html	red	Last 12 months	37
Undergrad Student Support	Undergraduate Research Scholar Grants Awarded	fa fa-chart-line	bo.html	red	Last 12 months	14
Undergrad Student Support	Undergraduate Research Scholar Dollars Awarded	fa fa-money-check-alt	bo.html	red	Last 12 months	$29,000
Graduate Student Support	New Graduate Student Appointments	fa fa-plus-circle	bo.html	light-blue	Last 12 months	12
Graduate Student Support	Graduate Student Research Grants Awarded	fa fa-award	bo.html	light-blue	Most Recent Year	27
Graduate Student Support	Graduate Research Grant Dollars Awarded	fa fa-trophy	bo.html	light-blue	Most Recent Year	$67,500
Graduate Student Support	Graduate Travel Grants Awarded	fa fa-suitcase	bo.html	light-blue	Last 12 months	45
Graduate Student Support	Graduate Travel Grant Dollars Awarded	fa fa-plane-departure	bo.html	light-blue	Last 12 months	$37,909
Community Building	New Student Affiliates 	fa fa-user-graduate	bo.html	blue	Last 12 months	33
Community Building	New Academic Affiliates	fa fa-plus-square	bo.html	blue	Last 12 months	41
Community Building	Academic Reappointments	fa fa-redo	bo.html	blue	Last 12 months	23
Community Building	New Faculty Affiliates	fa fa-user-plus	bo.html	blue	Last 12 months	7
Community Building	Events (seminars, conferences, trainings, social events)	fa fa-calendar-alt	bo.html	blue	Last 12 months	41
Community Building	Attendees at events	fa fa-users	bo.html	blue	Last 12 months	1160
Community Building	Current Student Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	261
Community Building	Current Academic Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	125
Community Building	Current Faculty Affiliates	fa fa-user-alt	bo.html	blue	Most Recent Month	146
Community Building	Visas Processed	fa fa-passport	bo.html	blue	Last 12 months	25
Community Building	IQSS Website and News Features	fas fa-newspaper	bo.html	blue	Last 12 months	23
