id	Lab Discovery	count	period
0	Faculty	325	August 2019 - April 2026
1	Staff Member	261	August 2019 - April 2026
2	Course Instructor	254	August 2019 - April 2026
3	Friends	250	August 2019 - April 2026
4	Fellow Student/Scholar	182	August 2019 - April 2026
5	Walk In	143	August 2019 - April 2026
6	Web Search	117	August 2019 - April 2026
7	Word of Mouth	74	August 2019 - April 2026
8	Other	49	August 2019 - April 2026
9	Librarian	38	August 2019 - April 2026
10	Orientation	35	August 2019 - April 2026
11	Mentor	33	August 2019 - April 2026
