id	Reason for Lab Access	count	period
0	GIS Programs	377	September 2022 - July 2021
1	Powerful Computers	311	September 2022 - July 2021
2	Research Project	298	September 2022 - July 2021
3	Statistical Programs	282	September 2022 - July 2021
4	Place to Work	266	September 2022 - July 2021
5	Design Project	122	September 2022 - July 2021
6	Multimedia Programs	97	September 2022 - July 2021
7	GSD Programs	73	September 2022 - July 2021
8	Printing	61	September 2022 - July 2021
9	Other	39	September 2022 - July 2021
10	Faculty Support	15	September 2022 - July 2021
