id	School	count	percentage	period
0	FAS	384	51.3	June 2019 - August 2022
1	GSD	151	20.2	June 2019 - August 2022
2	HKS	34	4.5	June 2019 - August 2022
3	HSPH	31	4.1	June 2019 - August 2022
4	DCE	27	3.6	June 2019 - August 2022
5	MIT	21	2.8	June 2019 - August 2022
6	Other	21	2.8	June 2019 - August 2022
7	HLS	19	2.5	June 2019 - August 2022
8	HMS	18	2.4	June 2019 - August 2022
9	HKS;MIT	16	2.1	June 2019 - August 2022
10	GSE	11	1.5	June 2019 - August 2022
11	HBS	11	1.5	June 2019 - August 2022
12	Other	5	0.7	June 2019 - August 2022
