id	Status	count	percentage	period
0	Graduate Student: Doctorate	534	34.5	September 2022 - August 2022
1	Graduate Student: Masters	386	25.0	September 2022 - August 2022
2	Undergraduate Student	216	14.0	September 2022 - August 2022
3	Staff	72	4.7	September 2022 - August 2022
4	Research Assistant	68	4.4	September 2022 - August 2022
5	Visitor	61	3.9	September 2022 - August 2022
6	Post Doc	38	2.5	September 2022 - August 2022
7	Other	37	2.4	September 2022 - August 2022
8	Faculty	31	2.0	September 2022 - August 2022
9	Other	104	6.7	September 2022 - August 2022
