id	Department/Concentration	count	percentage	period
0	Government	570	17.5	September 2021 - July 2021
2	Design Studies	290	8.9	September 2021 - July 2021
3	Architecture	184	5.7	September 2021 - July 2021
4	Economics	169	5.2	September 2021 - July 2021
5	Urban Planning	117	3.6	September 2021 - July 2021
6	Landscape Architecture	100	3.1	September 2021 - July 2021
7	Biology	98	3.0	September 2021 - July 2021
8	Sociology	88	2.7	September 2021 - July 2021
9	IQSS	85	2.6	September 2021 - July 2021
10	Education Policy	79	2.4	September 2021 - July 2021
11	Undeclared	75	2.3	September 2021 - July 2021
12	Public Administration	70	2.2	September 2021 - July 2021
13	Computer Science	68	2.1	September 2021 - July 2021
14	WCFIA	63	1.9	September 2021 - July 2021
15	Social Studies	52	1.6	September 2021 - July 2021
16	Anthropology	51	1.6	September 2021 - July 2021
17	Public Policy	50	1.5	September 2021 - July 2021
18	English	45	1.4	September 2021 - July 2021
19	History	39	1.2	September 2021 - July 2021
20	Political Science	38	1.2	September 2021 - July 2021
21	Philosophy	38	1.2	September 2021 - July 2021
100	Other	886	27.200000000000003	September 2021 - July 2021
