Dept	Year	Num
Government	2014	167621.3
Government	2015	87179.5
Government	2019	239169.6
Government	2020	164385.9
Government	2024	2221909.347
Economics	2014	63667.9
Economics	2015	129086.7
Economics	2019	61624.3
Economics	2020	104355.5
Economics	2024	4280238.976
Psychology	2014	
Psychology	2015	824.7
Psychology	2019	2010.4
Psychology	2020	3910.3
Psychology	2024	685271.1283
Sociology	2014	37170.1
Sociology	2015	30050.9
Sociology	2019	44849.9
Sociology	2020	70129.8
Sociology	2024	342215.5024
