School	Department	Number	Social Science	HSPH	HKS	Other schools	SEAS	Sciences
FAS	Anthropology	6	6					
FAS	Archaeology	4	4					
FAS	Astronomy							
FAS	Center for Astrophysics							
FAS	Center for Geographic Analysis	8	8					
FAS	Center for Nanoscale Systems							
FAS	Center for Systems Biology							
FAS	Chemistry and Chemical Biology							
FAS	Collection of Historical Scientific Instruments	7	7					
FAS	Computer Science							
FAS	Earth and Planetary Sciences							
FAS	East Asian Languages and Civilizations							
FAS	Economics	190	190					
FAS	English							
FAS	FAS Other							
FAS	Government	56	56					
FAS	Harvard Center for Biological Imaging							
FAS	Human Evolutionary Biology							
FAS	Institute for Theory and Computation and Institute for							
FAS	Linguistics							
FAS	Mathematics							
FAS	Molecular and Cellular Biology							
FAS	Museum of Comparative Zoology							
FAS	Neuroimaging Compute Facility							
FAS	Organismic and Evolutionary Biology							
FAS	PHILOSOPHY							
FAS	Physics							
FAS	Psychology	107	107					
FAS	Research Computing							
FAS	Rowland Institute							
FAS	SCRB							
FAS	Sociology	24	24					
FAS	Statistics							
FAS	Stem Cell and Regenerative Biology							
FAS	Women, Gender, and Sexuality	3	3					
GSD	Graduate School of Design	7				7		
GSE	Graduate School of Education	95				95		
HBS	Business Administration	1				1		
HBS	Harvard Business School	62				62		
HBS	Research Computing	1				1		
HCSPH	Bioinformatics	4		4				
HCSPH	Biostatistics	199		199				
HCSPH	Environmental Epidemiology	5		5				
HCSPH	Environmental Health	44		44				
HCSPH	Epidemiology	220		220				
HCSPH	Genetics and Complex Diseases	4		4				
HCSPH	Global Health and Population	35		35				
HCSPH	Health Policy and Management	34		34				
HCSPH	Immunology and Infectious Diseases	44		44				
HCSPH	Nutrition	29		29				
HCSPH	Social and Behavioral Sciences	30		30				
HCSPH		69		69				
HKS	Economics	1			1			
HKS	Harvard Kennedy School of Government	108			108			
HKS	HKS	2			2			
HLS	Harvard Law School	21				21		
HMS	Biological and Biomedical Sciences	3				3		
HMS	Biostatistics	1				1		
HMS	Center for Systems Biology							
HMS	Chemistry and Chemical Biology							
HMS	Chemistry and Systems Biology							
HMS	DSI	1				1		
HMS	GENETICS	1				1		
HMS	Graduate School of Arts and Sciences	1				1		
HMS	Harvard Medical School	95				95		
HMS	HMS Research Computing	2				2		
HMS	Neuroimaging Compute Facility	3				3		
HMS	SEAS	3				3		
HSDM	Harvard School of Dental Medicine	1				1		
HUIT	Harvard University RC	10				10		
HUIT	HUIT	6				6		
IQSS	Harvard Law School							
IQSS	Institute for Quantitative Social Science	42	42					
SEAS	BIOENGINEERING	2					2	
SEAS	BIOPHYSICS	1					1	
SEAS	Computer Science	3					3	
SEAS	EPS	2					2	
SEAS	Harvard Center for Biological Imaging	1					1	
SEAS	Physics	4					4	
SEAS	School of Engineering and Applied Sciences	818					818	
