date	group	metric	title	value	unit	icon	color	url
2020-05-18	Social Media	Twitter Followers	Twitter	5831	Total Followers	heart	light-blue	https://twitter.com/IQSS
2020-05-18	Social Media	Twitter Tweets	Twitter	5831	Total Tweets	twitter	light-blue	https://twitter.com/IQSS
2020-05-18	Social Media	Facebook Likes	Facebook	2530	Total Likes	thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-18	Social Media	Facebook Followers	Facebook	2656	Total Followers	facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-19	Social Media	Twitter Followers	Twitter	5830	Total Followers	heart	light-blue	https://twitter.com/IQSS
2020-05-19	Social Media	Twitter Tweets	Twitter	7621	Total Tweets	twitter	light-blue	https://twitter.com/IQSS
2020-05-19	Social Media	Facebook Likes	Facebook	2530	Total Likes	thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-19	Social Media	Facebook Followers	Facebook	2656	Total Followers	facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-21	Social Media	Twitter Followers	Twitter	5827	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-21	Social Media	Twitter Tweets	Twitter	7628	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-21	Social Media	Facebook Likes	Facebook	2527	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-21	Social Media	Facebook Followers	Facebook	2653	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-22	Social Media	Twitter Followers	Twitter	5826	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-22	Social Media	Twitter Tweets	Twitter	7628	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-22	Social Media	Facebook Likes	Facebook	2527	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-22	Social Media	Facebook Followers	Facebook	2653	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-24	Social Media	Twitter Followers	Twitter	5828	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-24	Social Media	Twitter Tweets	Twitter	7630	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-24	Social Media	Facebook Likes	Facebook	2528	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-24	Social Media	Facebook Followers	Facebook	2654	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-25	Social Media	Twitter Followers	Twitter	5830	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-25	Social Media	Twitter Tweets	Twitter	7630	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-25	Social Media	Facebook Likes	Facebook	2528	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-25	Social Media	Facebook Followers	Facebook	2654	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-26	Social Media	Twitter Followers	Twitter	5831	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-26	Social Media	Twitter Tweets	Twitter	7630	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-26	Social Media	Facebook Likes	Facebook	2528	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-26	Social Media	Facebook Followers	Facebook	2654	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-28	Social Media	Twitter Followers	Twitter	5828	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-28	Social Media	Twitter Tweets	Twitter	7631	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-28	Social Media	Facebook Likes	Facebook	2531	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-28	Social Media	Facebook Followers	Facebook	2657	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-29	Social Media	Twitter Followers	Twitter	5827	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-29	Social Media	Twitter Tweets	Twitter	7634	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-29	Social Media	Facebook Likes	Facebook	2530	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-29	Social Media	Facebook Followers	Facebook	2656	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-05-30	Social Media	Twitter Followers	Twitter	5827	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-05-30	Social Media	Twitter Tweets	Twitter	7633	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-05-30	Social Media	Facebook Likes	Facebook	2530	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-05-30	Social Media	Facebook Followers	Facebook	2656	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
2020-06-01	Social Media	Twitter Followers	Twitter	5824	Total Followers	fa fa-heart	light-blue	https://twitter.com/IQSS
2020-06-01	Social Media	Twitter Tweets	Twitter	7631	Total Tweets	fab fa-twitter	light-blue	https://twitter.com/IQSS
2020-06-01	Social Media	Facebook Likes	Facebook	2531	Total Likes	fa fa-thumbs-up	blue	https://www.facebook.com/iqssharvard
2020-06-01	Social Media	Facebook Followers	Facebook	2658	Total Followers	fab fa-facebook-square	blue	https://www.facebook.com/iqssharvard
